,排名,公司,价值.亿元.,主业,董事长,总部
1,1,阿里巴巴,38100,电子商务,张勇,浙江杭州
2,2,腾讯控股,28500,互联网服务,马化腾,广东深圳
3,3,中国平安保险,15000,金融,马明哲,广东深圳
4,4,华为投资控股,12000,电信解决方案、智能手机,梁华,广东深圳
5,5,蚂蚁金服,10000,金融科技,井贤栋,浙江杭州
6,6,美团点评,5500,生活服务,王兴,北京
7,7,字节跳动,5300,传媒和娱乐,张一鸣,北京
8,8,恒瑞医药,3800,医药,孙飘扬,江苏连云港
9,9,美的集团,3770,家电制造,何享健,广东佛山
10,10,滴滴出行,3600,共享出行,程维,北京
11,11,格力电器,3470,家电,董明珠,广东珠海
12,12,京东集团,3320,电子商务,刘强东,北京
13,13,海康威视,2950,视频监控产品,陈宗年,浙江杭州
14,14,拼多多,2930,电子商务,黄峥,上海
15,15,百度,2890,网络信息服务,李彦宏,北京
16,15,海天调味食品,2890,调味品,庞康,广东佛山
17,17,网易,2825,互联网技术,丁磊,浙江杭州
18,18,陆金所,2700,金融科技,计葵生,上海
19,19,中国民生银行,2600,银行,洪崎,北京
20,20,中国恒大集团,2210,房地产、投资,许家印,广东深圳
21,21,迈瑞生物医疗电子,2185,医疗器械,李西廷,广东深圳
22,22,泰康保险,2150,保险,陈东升,北京
23,23,碧桂园控股,2140,房地产,杨国强,广东佛山
24,24,小米集团,1940,智能手机、智能家电,雷军,北京
25,25,宁德时代,1930,锂电池,曾毓群,福建宁德
26,26,牧原食品,1900,畜牧,秦英林,河南南阳
27,26,温氏食品集团,1900,家禽养殖、动物保健,温志芬,广东云浮
28,28,立讯精密工业,1820,电脑连接线,王来春,广东深圳
29,29,安踏,1800,体育用品,丁世忠,福建厦门
30,30,伊利实业集团,1780,食品饮料,潘刚,内蒙古呼和浩特
31,31,好未来,1760,教育,张邦鑫,北京
32,32,龙湖集团,1720,房地产,吴亚军,北京
33,33,顺丰控股,1675,快递,王卫,广东深圳
34,34,海底捞,1570,餐饮,张勇,北京
35,35,融创中国控股,1530,房地产,孙宏斌,天津
36,36,微众银行,1500,金融科技,顾敏,广东深圳
37,37,扬子江药业集团,1450,医药,徐镜人,江苏泰州
38,38,药明康德,1430,生物医药,李革,上海
39,39,三六零安全科技,1400,网络信息服务,周鸿祎,北京
40,40,三一集团,1390,重型机械,梁稳根,北京
41,40,申洲国际,1390,纺织、服装,马建荣,浙江宁波
42,42,携程,1360,互联网旅游服务,梁建章,上海
43,43,京东数科,1330,金融,陈生强,北京
44,43,新东方教育科技集团,1330,教育,俞敏洪,北京
45,45,OPPO,1300,智能手机,陈明永,广东东莞
46,45,恒力集团,1300,化纤、石化、房地产,陈建华,江苏苏州
47,47,万达集团,1290,房地产、文化、投资,王健林,北京
48,48,爱尔眼科医院集团,1250,医疗服务,陈邦,湖南长沙
49,49,新奥集团,1240,天然气、能源化工,王玉锁,河北廊坊
50,50,VIVO,1200,智能手机,沈炜,广东东莞
51,50,翰森制药,1200,医药,钟慧娟,江苏连云港
52,50,吉利控股集团,1200,汽车制造,李书福,浙江杭州
53,50,快手科技,1200,传媒和娱乐,宿华,北京
54,50,太平洋建设,1200,基础建设,严昊,新疆乌鲁木齐
55,55,中通快递,1170,物流,赖梅松,上海
56,56,中国生物制药,1140,生物医药,谢其润,北京
57,57,中公教育科技,1130,教育,李永新,北京
58,58,比亚迪,1090,汽车、充电电池,王传福,广东深圳
59,59,韦尔股份,1080,半导体,虞仁荣,上海
60,60,双汇,1060,食品加工,万隆,河南郑州
61,61,海尔智家,1050,家用电器,梁海山,山东青岛
62,62,药明生物,1030,生物医药,李革,上海
63,63,大疆创新科技,1000,机器人,汪滔,广东深圳
64,63,石药集团,1000,医药,蔡东晨,河北石家庄
65,63,万向集团,1000,汽车制造业、房地产、农业,鲁伟鼎,浙江杭州
66,63,闻泰科技,1000,软件,张学政,浙江嘉兴
67,67,爱奇艺,970,在线娱乐服务,龚宇,北京
68,68,正威国际集团,950,有色金属,王文银,广东深圳
69,69,东方财富,930,金融数据服务,其实,上海
70,70,苏宁易购,920,零售,张近东,江苏南京
71,71,广汇集团,900,汽车销售、能源、房地产,孙广信,新疆乌鲁木齐
72,71,西安隆基,900,硅材料,李振国,陕西西安
73,73,汇顶科技,885,芯片设计、软件开发,张帆,广东深圳
74,74,新希望集团,870,农业、化工、金融,刘永好,四川成都
75,75,百济神州,850,生物医药,欧雷强,北京
76,76,华夏幸福,840,房地产,王文学,北京
77,76,世茂集团,840,房地产,许荣茂,上海
78,78,分众传媒,820,广告新媒体,江南春,上海
79,79,复星国际,810,投资,郭广昌,上海
80,80,海南航空,800,航空运输,陈峰,海南海口
81,80,荣盛控股,800,化纤,李水荣,浙江杭州
82,82,洛阳钼业,770,钼矿,李朝春,河南洛阳
83,83,魏桥创业集团,750,纺织,张波,山东滨州
84,84,科大讯飞,730,软件和信息技术服务业,刘庆峰,安徽合肥
85,84,长城汽车,730,汽车,魏建军,河北保定
86,86,领益智造,720,消费电子精密件,曾芳勤,广东深圳
87,87,永辉超市,710,超市零售,张轩松,福建福州
88,87,智飞生物,710,疫苗,蒋仁生,重庆
89,89,华住集团,705,连锁酒店,季琦,上海
90,90,宝丰能源集团,700,煤化工,党彦宝,宁夏银川
91,90,东方希望集团,700,氧化铝、重化工、饲料,刘永行,上海
