基金
代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
165520,信诚中证80,02-14,0.968,1.201,1.68,10.88,-1.22,25.32,16.93,25.01,-9.92,-3.16,4.2,3.4,0.12
004433,南方有色金属,02-14,0.7658,0.7658,1.32,10.65,-1.85,24.46,14.95,25.5,-13.34,NA,4.3,-23.42,0
004432,南方有色金属,02-14,0.7732,0.7732,1.32,10.65,-1.83,24.57,15.18,25.97,-12.65,NA,4.35,-22.68,0.12
160221,国泰国证有色,02-14,0.833,0.6335,1.47,10.32,-1.83,22.57,12.47,21.02,-15.06,-18.7,3.21,-36.84,0
160628,鹏华地产分级,02-14,1.069,1.781,2.69,8.09,-5.15,6.67,9.01,15.23,-4.1,12.72,-5.21,72.1,0.12
004856,广发中证全指,02-14,1.0758,1.0758,0.52,8.01,-4.88,10.67,21.18,31,10.93,NA,-4.3,7.58,0.1
004857,广发中证全指,02-14,1.0828,1.0828,0.52,8.01,-4.9,10.64,21.2,31.22,11.35,NA,-4.32,8.28,0
160218,国泰国证房地,02-14,1.0269,1.8826,2.63,7.85,-5.31,4.86,6.84,10.07,-12.27,-3.63,-5.25,63.94,0.1
161217,国投瑞银中证,02-14,0.686,0.686,0.88,7.36,-3.11,15.88,13.2,15.29,-8.78,0.15,0.29,-31.4,0.12
257060,国联安上证商,02-14,0.5638,0.5638,0.8,7.31,-3.13,13.76,9.73,13.37,-10.92,-3.95,-0.44,-43.62,0.15
161819,银华中证内地,02-14,0.884,0.61,1.14,7.28,-5.05,11.54,4.69,3.84,-21.13,-16.59,-1.69,-40.98,0.12
690008,民生中证内地,02-14,0.637,0.637,1.11,7.24,-5.07,11.56,4.77,4.6,-20.18,-13.1,-1.7,-36.3,0.12
161721,招商沪深30,02-14,1.3177,1.4309,2.82,7.19,-6.35,6.06,11.07,21.06,6.75,17.95,-6.9,39.49,0.1
004642,南方房地产E,02-14,0.887,0.887,2.51,7.11,-6.39,3.66,7.2,9.01,-12.08,NA,-6.18,-11.3,0.12
