基金
代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,手续费
003745,广发多元新兴,02-14,1.9184,1.9184,1.03,4.05,15.87,35.91,85.68,129.86,94.41,---,22.75,91.84,0.15
001956,国联安科技动,02-14,1.6364,1.6364,-0.92,0.76,16.76,33.53,69.50,113.35,52.93,81.02,32.65,63.64,0.15
001410,信达澳银新能,02-14,2.829,2.891,0.43,4.24,11.12,39.63,70.63,108.32,113.07,175.76,22.57,196.17,0.15
003956,南方教育股票,02-14,1.6911,1.6911,-0.89,0.66,12.31,31.67,70.68,102.12,90.65,69.18,20.70,69.11,0.15
001643,汇丰晋信智造,02-14,1.6699,1.6699,-0.49,9.47,7.94,58.75,69.36,98.25,78.58,63.64,26.30,66.94,0.15
001644,汇丰晋信智造,02-14,1.6353,1.6353,-0.49,9.47,7.90,58.57,69.04,97.38,76.94,61.51,26.22,63.48,0.00
005962,宝盈人工智能,02-14,2.0903,2.0903,-1.31,-0.89,12.22,33.46,65.23,96.81,---,---,21.88,109.03,0.15
005963,宝盈人工智能,02-14,2.0654,2.0654,-1.31,-0.90,12.15,33.20,64.59,95.25,---,---,21.77,106.54,0.00
005495,创金合信科技,02-14,1.563,1.563,-0.02,2.80,9.05,29.28,68.68,90.40,72.00,---,18.31,56.30,0.15
004851,广发医疗保健,02-14,1.9526,1.9526,-0.08,2.28,9.64,6.46,34.88,89.70,79.42,---,14.52,95.26,0.15
005496,创金合信科技,02-14,1.5422,1.5422,-0.02,2.78,9.00,29.12,67.87,88.58,69.83,---,18.23,54.22,0.00
000971,诺安新经济股,02-14,1.183,1.183,0.42,6.38,10.46,26.93,38.36,87.78,51.67,18.06,19.37,18.30,0.15
005310,广发电子信息,02-14,1.3939,1.3939,-0.35,2.55,12.27,29.63,58.94,87.60,49.67,---,23.06,39.39,0.15
001645,国泰大健康股,02-14,2.422,2.422,-0.98,1.47,4.53,22.82,46.52,86.88,70.44,88.34,12.55,142.20,0.15
001915,宝盈医疗健康,02-14,1.362,1.362,0.15,1.11,11.91,10.91,35.52,85.05,51.84,55.66,17.11,36.20,0.15
000828,泰达转型机遇,02-14,1.319,1.539,-0.45,1.07,11.31,23.04,46.39,84.73,51.61,54.99,19.80,58.50,0.12
540010,汇丰晋信科技,02-14,2.7787,2.7787,0.70,3.80,12.16,30.59,57.81,83.35,53.41,45.48,22.54,177.87,0.15
000913,农银医疗保健,02-14,1.7835,1.7835,0.36,1.78,8.69,6.56,34.90,82.94,88.47,72.14,13.65,78.35,0.15
003853,金鹰信息产业,02-14,2.1059,2.1239,-0.63,5.53,9.79,45.50,56.68,82.16,104.50,---,22.56,114.37,0.12
