logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000139329	1.72198636845385	3.78805412794591	6.31088733747708	3.83789094495987e-09	7.62819204220224e-05	10.5685108425944
ENSG00000164694	2.02892534539978	0.425494864302617	5.90145806126931	2.83835620437108e-08	0.000282075839590398	8.2593689772298
ENSG00000145824	1.42016252114516	5.77870423478429	5.60947727103423	1.13142002838938e-07	0.000749603482808911	7.40441663594421
ENSG00000247627	2.1799139351128	1.50049064522221	5.4550859228041	2.31343033259481e-07	0.00101398060763413	6.60718111210064
ENSG00000172061	2.31385565855041	-1.26813780792391	5.42961697530552	2.60028704601766e-07	0.00101398060763413	5.9216676998722
ENSG00000106819	1.15899664077562	2.16893609770051	5.39396487808318	3.0609195239509e-07	0.00101398060763413	6.37047610732569
ENSG00000270906	1.88092038851519	-2.72913175743836	5.33701773558201	3.9666574311034e-07	0.00112630404429444	4.93451104481345
ENSG00000128487	0.463139373441279	3.72687288613499	5.1869494568122	7.79268747547733e-07	0.00193609320328234	5.59361473478225
ENSG00000079931	1.16044487076681	2.69745234387452	5.09007532154271	1.19763955110781e-06	0.00250512400354553	5.17347163808864
ENSG00000184601	1.6899766089114	-1.14312052982597	5.07849170552319	1.26037633505007e-06	0.00250512400354553	4.56149309271229
ENSG00000106278	0.801900730648285	4.92463514735023	4.84047298542623	3.541581171864e-06	0.00639931521563353	4.17798502876294
ENSG00000198756	0.802695022566315	2.54196414515826	4.78652793266267	4.45669640721335e-06	0.0071376090966144	3.96122848825527
ENSG00000259188	-0.983260406157556	-0.898197280103409	-4.77558905984464	4.66838993036764e-06	0.0071376090966144	3.11559434317653
ENSG00000118689	0.46360147569603	3.98720211983691	4.74466747819014	5.3208290388504e-06	0.00755405699829933	3.81869824816138
ENSG00000263970	-0.913216210772404	-1.72104301763678	-4.70352646940155	6.32706669043488e-06	0.0082293135599041	2.60438915672544
ENSG00000236028	-1.27246233404125	-1.67537029554921	-4.69185905654545	6.64445002128416e-06	0.0082293135599041	2.49653772710759
ENSG00000103355	1.77333392983678	1.18780394978019	4.6780996256477	7.03855557045531e-06	0.0082293135599041	3.49832457625775
ENSG00000163347	1.17914832048856	1.13284480417575	4.59273188882592	1.00388223528364e-05	0.0109264198140469	3.1561506275186
ENSG00000008394	-0.59160052930217	7.09717553934224	-4.58313503147232	1.044485693635e-05	0.0109264198140469	3.16908356607796
ENSG00000064300	0.849307996460358	6.35172491915274	4.52951430075152	1.30221518949207e-05	0.0124822415609971	2.9670280122805
ENSG00000188501	1.12060281680537	-1.5205623312827	4.52096190874221	1.34862574760532e-05	0.0124822415609971	2.46696330147414
ENSG00000175928	0.836598385754738	2.02269197907573	4.5150541149497	1.38161256964146e-05	0.0124822415609971	2.92280896502273
ENSG00000163873	0.857667615705073	4.64418409395789	4.48857728980083	1.53925371798497e-05	0.0131183605330657	2.81553210510894
ENSG00000138079	0.798556958377943	-0.950169950406519	4.47205462634506	1.64626938175827e-05	0.0131183605330657	2.40118010912962
ENSG00000136999	0.765141540507976	2.90864434334833	4.47149373844631	1.65002522301591e-05	0.0131183605330657	2.78744988425196
ENSG00000145794	0.636102964195233	3.72494441746344	4.4358012658191	1.90678351357963e-05	0.0137994241957735	2.64686472792692
ENSG00000214100	1.16191679765753	0.157605107210065	4.43511656515822	1.91206680844295e-05	0.0137994241957735	2.49176831503205
ENSG00000164776	0.524021601879685	-0.00908511657724607	4.43102006540226	1.94397201389443e-05	0.0137994241957735	2.40626055780593
ENSG00000049089	0.914909202961975	4.07342284074996	4.41827805163053	2.04652322655257e-05	0.0140264467761927	2.56745641420323
ENSG00000102547	0.443919341860911	5.16375215705769	4.40398131413902	2.16778840331264e-05	0.0143623207680807	2.49041286280322
ENSG00000124935	1.30598840069887	-1.6399297169724	4.36407099957379	2.54402868420367e-05	0.0159210569676286	1.95777433874076
ENSG00000041982	1.33023967715538	3.90920967295411	4.36218686615023	2.56326133509818e-05	0.0159210569676286	2.3597031985043
ENSG00000163359	0.977580098470004	4.81787105403177	4.34424491471336	2.75355172057499e-05	0.0164101074371398	2.27177582382077
ENSG00000121005	0.696135967628553	2.71598456226086	4.33940887338656	2.80712242333847e-05	0.0164101074371398	2.30578834399862
ENSG00000137672	0.929377620310664	-0.749762265595411	4.32969577732984	2.91776131548626e-05	0.0165695496876014	1.98299196186732
ENSG00000237515	1.19356677379382	0.960388200616192	4.28279360150519	3.51368276495486e-05	0.0188902852413925	2.04799528398959
