"Term"	"Ont"	"N"	"DE"	"P.DE"
"GO:0001775"	"cell activation"	"BP"	1342	15	0.56737239766177
"GO:0002252"	"immune effector process"	"BP"	1197	7	0.984928381162074
"GO:0002263"	"cell activation involved in immune response"	"BP"	688	5	0.895699944583528
"GO:0002274"	"myeloid leukocyte activation"	"BP"	652	5	0.867759307877354
"GO:0002275"	"myeloid cell activation involved in immune response"	"BP"	542	5	0.74223044784559
"GO:0002283"	"neutrophil activation involved in immune response"	"BP"	488	5	0.655190858596734
"GO:0002366"	"leukocyte activation involved in immune response"	"BP"	684	5	0.892867985824406
"GO:0002376"	"immune system process"	"BP"	3063	37	0.373900125252799
"GO:0002443"	"leukocyte mediated immunity"	"BP"	814	5	0.957260585984044
"GO:0002444"	"myeloid leukocyte mediated immunity"	"BP"	549	5	0.752242676434277
"GO:0002446"	"neutrophil mediated immunity"	"BP"	499	5	0.674319587693174
"GO:0002576"	"platelet degranulation"	"BP"	128	4	0.0587026196417783
"GO:0006810"	"transport"	"BP"	4785	62	0.136683529953734
"GO:0006887"	"exocytosis"	"BP"	862	14	0.116125015097919
"GO:0006955"	"immune response"	"BP"	2148	11	0.999534275669082
"GO:0008150"	"biological_process"	"BP"	17913	210	0.117987854898918
"GO:0009987"	"cellular process"	"BP"	15799	186	0.181798124479396
"GO:0016192"	"vesicle-mediated transport"	"BP"	1899	25	0.250505823341863
"GO:0032940"	"secretion by cell"	"BP"	1449	24	0.0413343876328954
"GO:0036230"	"granulocyte activation"	"BP"	506	5	0.686124013424957
"GO:0042119"	"neutrophil activation"	"BP"	499	5	0.674319587693174
"GO:0043299"	"leukocyte degranulation"	"BP"	532	5	0.727421351499641
"GO:0043312"	"neutrophil degranulation"	"BP"	485	5	0.649852612695048
"GO:0045055"	"regulated exocytosis"	"BP"	768	13	0.100797113940169
"GO:0045321"	"leukocyte activation"	"BP"	1186	9	0.928213466076373
"GO:0046903"	"secretion"	"BP"	1584	27	0.0229094781597105
"GO:0050896"	"response to stimulus"	"BP"	8836	124	0.00113883318995317
"GO:0051179"	"localization"	"BP"	6195	86	0.0167164813614031
"GO:0051234"	"establishment of localization"	"BP"	4908	64	0.119711463224099
"GO:0001867"	"complement activation, lectin pathway"	"BP"	11	0	1
"GO:0001868"	"regulation of complement activation, lectin pathway"	"BP"	2	0	1
"GO:0001869"	"negative regulation of complement activation, lectin pathway"	"BP"	2	0	1
"GO:0002253"	"activation of immune response"	"BP"	647	1	0.999462294162602
"GO:0002526"	"acute inflammatory response"	"BP"	220	0	1
"GO:0002673"	"regulation of acute inflammatory response"	"BP"	160	0	1
"GO:0002682"	"regulation of immune system process"	"BP"	1570	17	0.621177342837376
"GO:0002683"	"negative regulation of immune system process"	"BP"	451	6	0.407796707510883
"GO:0002684"	"positive regulation of immune system process"	"BP"	1087	11	0.698354037682246
"GO:0002697"	"regulation of immune effector process"	"BP"	441	3	0.881161076096377
"GO:0002698"	"negative regulation of immune effector process"	"BP"	116	1	0.735977554669068
"GO:0002920"	"regulation of humoral immune response"	"BP"	135	0	1
"GO:0002921"	"negative regulation of humoral immune response"	"BP"	13	0	1
"GO:0006508"	"proteolysis"	"BP"	1645	28	0.0210181037866335
"GO:0006807"	"nitrogen compound metabolic process"	"BP"	10059	110	0.746053460689116
"GO:0006950"	"response to stress"	"BP"	3822	47	0.301481886525214
"GO:0006952"	"defense response"	"BP"	1681	15	0.869312699040647
"GO:0006954"	"inflammatory response"	"BP"	784	12	0.184527869361514
"GO:0006956"	"complement activation"	"BP"	128	0	1
"GO:0006959"	"humoral immune response"	"BP"	276	1	0.958469336972505
"GO:0007154"	"cell communication"	"BP"	6064	95	0.000164388061617331
"GO:0007165"	"signal transduction"	"BP"	5601	82	0.00500917872054329
"GO:0007264"	"small GTPase mediated signal transduction"	"BP"	465	13	0.00269951214319454
"GO:0007596"	"blood coagulation"	"BP"	331	6	0.177121047930007
"GO:0007597"	"blood coagulation, intrinsic pathway"	"BP"	18	0	1
"GO:0007599"	"hemostasis"	"BP"	336	6	0.185565645195689
"GO:0008152"	"metabolic process"	"BP"	11817	128	0.827141884282829
"GO:0009605"	"response to external stimulus"	"BP"	2331	43	0.000937203987429321
"GO:0009611"	"response to wounding"	"BP"	665	15	0.0094184502471701
"GO:0009892"	"negative regulation of metabolic process"	"BP"	3322	29	0.95603734739836
"GO:0009966"	"regulation of signal transduction"	"BP"	3266	46	0.0696790765297274
"GO:0010466"	"negative regulation of peptidase activity"	"BP"	223	8	0.00412576810546712
"GO:0010467"	"gene expression"	"BP"	6188	39	0.999999371572233
"GO:0010468"	"regulation of gene expression"	"BP"	4819	36	0.999165143070603
"GO:0010605"	"negative regulation of macromolecule metabolic process"	"BP"	3088	25	0.978991240403245
"GO:0010629"	"negative regulation of gene expression"	"BP"	2278	13	0.998904539471306
"GO:0010646"	"regulation of cell communication"	"BP"	3590	55	0.0108829921841219
"GO:0010951"	"negative regulation of endopeptidase activity"	"BP"	210	8	0.0028679893004164
"GO:0010955"	"negative regulation of protein processing"	"BP"	37	0	1
"GO:0016043"	"cellular component organization"	"BP"	5782	78	0.0448171697426737
"GO:0016485"	"protein processing"	"BP"	295	3	0.655516690736437
"GO:0019222"	"regulation of metabolic process"	"BP"	6816	65	0.968195590019102
"GO:0019538"	"protein metabolic process"	"BP"	5488	72	0.0902967660070077
"GO:0022411"	"cellular component disassembly"	"BP"	492	7	0.328562416777547
"GO:0022617"	"extracellular matrix disassembly"	"BP"	78	3	0.0594788885535612
"GO:0023051"	"regulation of signaling"	"BP"	3636	58	0.00368109621399664
"GO:0023052"	"signaling"	"BP"	6039	97	4.64371766700741e-05
"GO:0030154"	"cell differentiation"	"BP"	3923	64	0.00120015756031957
"GO:0030162"	"regulation of proteolysis"	"BP"	762	14	0.0539673156427804
"GO:0030198"	"extracellular matrix organization"	"BP"	334	12	0.000470186861448216
"GO:0030449"	"regulation of complement activation"	"BP"	116	0	1
"GO:0031323"	"regulation of cellular metabolic process"	"BP"	5833	60	0.843516107495184
"GO:0031324"	"negative regulation of cellular metabolic process"	"BP"	2433	29	0.425065852581813
"GO:0031347"	"regulation of defense response"	"BP"	885	7	0.881338294640034
"GO:0031348"	"negative regulation of defense response"	"BP"	237	1	0.934722635267376
"GO:0032101"	"regulation of response to external stimulus"	"BP"	873	15	0.0745011150692535
"GO:0032268"	"regulation of cellular protein metabolic process"	"BP"	2453	32	0.23002343700595
"GO:0032269"	"negative regulation of cellular protein metabolic process"	"BP"	1050	11	0.654348049248252
"GO:0032501"	"multicellular organismal process"	"BP"	7433	112	0.000134927129337622
"GO:0032502"	"developmental process"	"BP"	6041	92	0.000646770510323794
"GO:0035556"	"intracellular signal transduction"	"BP"	2624	34	0.233186028937698
"GO:0042060"	"wound healing"	"BP"	550	13	0.0106088807919009
"GO:0043062"	"extracellular structure organization"	"BP"	387	13	0.000519985589984722
"GO:0043086"	"negative regulation of catalytic activity"	"BP"	757	15	0.0269670617229863
"GO:0043170"	"macromolecule metabolic process"	"BP"	9779	97	0.975515111211269
"GO:0044092"	"negative regulation of molecular function"	"BP"	1097	19	0.0455825444307009
"GO:0044237"	"cellular metabolic process"	"BP"	10578	112	0.881320712172803
"GO:0044238"	"primary metabolic process"	"BP"	10515	113	0.829868667270886
"GO:0044260"	"cellular macromolecule metabolic process"	"BP"	7747	85	0.69062126535295
"GO:0044267"	"cellular protein metabolic process"	"BP"	4872	62	0.173844500115709
"GO:0045087"	"innate immune response"	"BP"	893	3	0.998005339324682
"GO:0045088"	"regulation of innate immune response"	"BP"	440	1	0.993858764748552
"GO:0045824"	"negative regulation of innate immune response"	"BP"	57	0	1
"GO:0045861"	"negative regulation of proteolysis"	"BP"	324	9	0.0122135291805728
"GO:0045916"	"negative regulation of complement activation"	"BP"	9	0	1
"GO:0048518"	"positive regulation of biological process"	"BP"	5787	71	0.246742480170337
"GO:0048519"	"negative regulation of biological process"	"BP"	5537	76	0.0335191929027317
"GO:0048523"	"negative regulation of cellular process"	"BP"	4581	73	0.000921664582451179
"GO:0048583"	"regulation of response to stimulus"	"BP"	4276	58	0.0779077166287797
"GO:0048584"	"positive regulation of response to stimulus"	"BP"	2322	28	0.402330349651848
"GO:0048585"	"negative regulation of response to stimulus"	"BP"	1621	25	0.0743174083877129
"GO:0048863"	"stem cell differentiation"	"BP"	237	4	0.284575085933752
"GO:0048869"	"cellular developmental process"	"BP"	4089	65	0.00211921757895157
"GO:0050727"	"regulation of inflammatory response"	"BP"	479	5	0.639022384478661
"GO:0050776"	"regulation of immune response"	"BP"	1033	3	0.999509753499441
"GO:0050777"	"negative regulation of immune response"	"BP"	143	1	0.806562368707583
"GO:0050778"	"positive regulation of immune response"	"BP"	809	3	0.995481932124024
"GO:0050789"	"regulation of biological process"	"BP"	11233	135	0.187765481405144
"GO:0050790"	"regulation of catalytic activity"	"BP"	2117	34	0.0248293880112581
"GO:0050794"	"regulation of cellular process"	"BP"	10176	130	0.0347151277700668
"GO:0050817"	"coagulation"	"BP"	337	6	0.187273480020799
"GO:0050878"	"regulation of body fluid levels"	"BP"	499	9	0.117616561211446
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"BP"	316	8	0.0287191111039322
