"","gene_short_name","status","term","estimate","std_err","test_val","p_value","q_value"
"1","CCND1","OK","groupNormal",-0.9913212,0.1065177,-9.3066,2.85e-19,9.33033e-15
"2","CD59","OK","groupNormal",0.4788079,0.0548951,8.7222,3.02e-17,9.886574e-13
"3","HLA.DRB5","OK","groupNormal",-0.8684082,0.1030068,-8.4306,2.84e-16,9.297024e-12
"4","PLAT","OK","groupNormal",-0.7712958,0.0956823,-8.061,4.49e-15,1.4698015e-10
"5","XIST","OK","groupNormal",-0.8483367,0.1057172,-8.0246,5.87e-15,1.9214858e-10
"6","C11orf96","OK","groupNormal",0.9785545,0.1219733,8.0227,5.95e-15,1.9476135e-10
"7","IFITM2","OK","groupNormal",0.4806449,0.0600284,8.007,6.68e-15,2.1864976e-10
"8","CALCRL","OK","groupNormal",-0.6389856,0.0819164,-7.8005,2.97e-14,9.721107e-10
"9","PMP22","OK","groupNormal",1.217433,0.1565122,7.7785,3.48e-14,1.139004e-09
"10","CYP4B1","OK","groupNormal",1.486115,0.2003346,7.4182,4.35e-13,1.4237115e-08
"11","ACKR3","OK","groupNormal",0.9043319,0.1244851,7.2646,1.24e-12,4.058272e-08
"12","RGCC","OK","groupNormal",-0.3754562,0.0521627,-7.1978,1.95e-12,6.381765e-08
"13","CD34","OK","groupNormal",-0.8039448,0.1140444,-7.0494,5.23e-12,1.7115698e-07
"14","IFITM3","OK","groupNormal",0.3008723,0.042854,7.0209,6.32e-12,2.06822e-07
"15","FAM198B","OK","groupNormal",-0.8737861,0.1245565,-7.0152,6.56e-12,2.1466944e-07
"16","CYP26B1","OK","groupNormal",1.204563,0.1782662,6.7571,3.5e-11,1.145305e-06
"17","NR4A1","OK","groupNormal",-0.645643,0.0999977,-6.4566,2.3e-10,7.52606e-06
"18","CD74","OK","groupNormal",-0.426214,0.0675734,-6.3074,5.71e-10,1.8683691e-05
"19","SPARCL1","OK","groupNormal",0.2491783,0.039628,6.2879,6.42e-10,2.100624e-05
"20","LRG1","OK","groupNormal",1.607434,0.2672466,6.0148,3.23e-09,0.00010568237
"21","IFITM1","OK","groupNormal",0.8634742,0.143959,5.9981,3.56e-09,0.00011647608
"22","INSR","OK","groupNormal",0.6740883,0.1128112,5.9754,4.05e-09,0.00013250385
"23","FTL","OK","groupNormal",0.381088,0.0640599,5.9489,4.72e-09,0.00015441952
"24","ITM2A","OK","groupNormal",-0.3432725,0.0580569,-5.9127,5.81e-09,0.00019007415
"25","NRP1","OK","groupNormal",-0.4973347,0.0844362,-5.8901,6.61e-09,0.00021623954
"26","TMEM173","OK","groupNormal",-1.1065815,0.1912163,-5.7871,1.18e-08,0.0003860134
"27","SEMA6B","OK","groupNormal",0.9794407,0.1695287,5.7774,1.25e-08,0.0004089
"28","TAGLN2","OK","groupNormal",0.4670489,0.0812896,5.7455,1.5e-08,0.000490665
"29","APLNR","OK","groupNormal",-2.202855,0.38728,-5.688,2.06e-08,0.000673826
"30","CXCL1","OK","groupNormal",2.120853,0.3742931,5.6663,2.32e-08,0.0007588488
"31","IL8","OK","groupNormal",1.173075,0.207352,5.6574,2.44e-08,0.0007980752
"32","MT2A","OK","groupNormal",0.52552,0.0938145,5.6017,3.31e-08,0.0010826017
"33","ITIH5","OK","groupNormal",-0.4914538,0.0881067,-5.5779,3.77e-08,0.0012330162
"34","GGT5","OK","groupNormal",0.883515,0.1589356,5.5589,4.18e-08,0.001367069
"35","SPNS2","OK","groupNormal",0.9177292,0.1655883,5.5422,4.58e-08,0.0014978432
"36","PDLIM1","OK","groupNormal",0.4600721,0.0833205,5.5217,5.11e-08,0.0016711233
"37","CTSH","OK","groupNormal",-0.7394063,0.1342374,-5.5082,5.5e-08,0.00179861
"38","FTH1","OK","groupNormal",0.2713142,0.0496228,5.4675,6.84e-08,0.0022367484
"39","TRIM69","OK","groupNormal",-1.215967,0.2224508,-5.4662,6.89e-08,0.00225303
"40","RPS27","OK","groupNormal",0.2465809,0.0458409,5.3791,1.1e-07,0.00359689
"41","CXCL2","OK","groupNormal",0.7405581,0.1376787,5.3789,1.1e-07,0.00359689
"42","ENTPD1","OK","groupNormal",-0.7005013,0.130478,-5.3687,1.16e-07,0.003792852
"43","RASA4","OK","groupNormal",1.284465,0.2393867,5.3657,1.18e-07,0.003858128
"44","HLA.DPA1","OK","groupNormal",-0.4489353,0.0851094,-5.2748,1.89e-07,0.006179355
"45","SDPR","OK","groupNormal",0.3017814,0.0572949,5.2672,1.97e-07,0.006440718
"46","MT1X","OK","groupNormal",0.8190689,0.1556497,5.2623,2.02e-07,0.006603986
"47","GJA1","OK","groupNormal",0.4988668,0.0949963,5.2514,2.14e-07,0.006996088
"48","DRD4","OK","groupNormal",-2.9656502,0.5654195,-5.245,2.21e-07,0.007224711
"49","S1PR3","OK","groupNormal",2.429895,0.4637699,5.2394,2.27e-07,0.00742063
"50","AC116366.6","OK","groupNormal",-1.300806,0.2485036,-5.2346,2.33e-07,0.007616537
"51","TGM2","OK","groupNormal",0.2338279,0.0450298,5.1927,2.89e-07,0.009446832
"52","RPS29","OK","groupNormal",0.2998725,0.0580243,5.1681,3.28e-07,0.010721336
"53","RPL37A","OK","groupNormal",0.2558259,0.0495279,5.1653,3.33e-07,0.010884438
"54","CEBPB","OK","groupNormal",0.7045857,0.1370028,5.1429,3.73e-07,0.012191505
"55","F8","OK","groupNormal",0.6193634,0.122571,5.0531,5.87e-07,0.019185508
"56","FOXF2","OK","groupNormal",-0.9095931,0.1809274,-5.0274,6.67e-07,0.021799561
"57","RBM3","OK","groupNormal",0.7158809,0.1424537,5.0254,6.74e-07,0.022027668
"58","PDGFB","OK","groupNormal",-1.0288725,0.2061788,-4.9902,8.03e-07,0.026242843
"59","RPS11","OK","groupNormal",0.3228741,0.0648001,4.9826,8.34e-07,0.02725512
"60","MT.CO3","OK","groupNormal",0.232869,0.0470153,4.9531,9.65e-07,0.031535235
"61","PHC2","OK","groupNormal",0.6819362,0.1381846,4.935,1.05e-06,0.0343119
"62","IRF2BP2","OK","groupNormal",-0.4895137,0.1001755,-4.8866,1.34e-06,0.04378718
"63","RPS6KA2","OK","groupNormal",1.297564,0.2660554,4.877,1.4e-06,0.0457464
"64","TFPI","OK","groupNormal",0.6092278,0.1261084,4.831,1.75e-06,0.05718125
"65","HLA.DPB1","OK","groupNormal",-0.5470344,0.1132358,-4.8309,1.75e-06,0.05718125
"66","XBP1","OK","groupNormal",0.8170699,0.1707062,4.7864,2.17e-06,0.07090041
"67","TM4SF18","OK","groupNormal",-0.43653,0.0912272,-4.7851,2.18e-06,0.07122496
"68","TPT1","OK","groupNormal",0.2020158,0.0422454,4.782,2.21e-06,0.07220291
"69","PTPRG","OK","groupNormal",-0.4568934,0.0959176,-4.7634,2.42e-06,0.0790614
"70","RPS23","OK","groupNormal",0.2236718,0.0472855,4.7302,2.83e-06,0.09245327
"71","PLSCR1","OK","groupNormal",0.6740656,0.1426342,4.7258,2.89e-06,0.09441052
"72","CD200","OK","groupNormal",-0.7243401,0.1547797,-4.6798,3.59e-06,0.11727453
"73","EEF1A1","OK","groupNormal",0.1742071,0.0372644,4.6749,3.68e-06,0.12021088
"74","RPL37","OK","groupNormal",0.2519342,0.053958,4.6691,3.78e-06,0.1234737
"75","EMCN","OK","groupNormal",-0.2782523,0.0599031,-4.645,4.23e-06,0.13816872
"76","PPAP2A","OK","groupNormal",-0.3594096,0.0780899,-4.6025,5.15e-06,0.16821445
"77","NDUFA8","OK","groupNormal",-0.728287,0.159437,-4.5679,6.05e-06,0.1976051
"78","CP","OK","groupNormal",0.4876307,0.1074998,4.5361,6.99e-06,0.22830039
"79","EFNA1","OK","groupNormal",0.5777042,0.1276129,4.527,7.29e-06,0.2380914
"80","METRNL","OK","groupNormal",0.6117511,0.1359624,4.4994,8.27e-06,0.27008993
"81","RPL13","OK","groupNormal",0.1980296,0.0441673,4.4836,8.88e-06,0.29000304
"82","FCN3","OK","groupNormal",1.292834,0.2884989,4.4812,8.98e-06,0.29325986
