"","id","label","group"
"1",0,"Myriel",1
"2",1,"Napoleon",1
"3",2,"Mlle.Baptistine",1
"4",3,"Mme.Magloire",1
"5",4,"CountessdeLo",1
"6",5,"Geborand",1
"7",6,"Champtercier",1
"8",7,"Cravatte",1
"9",8,"Count",1
"10",9,"OldMan",1
"11",10,"Labarre",2
"12",11,"Valjean",2
"13",12,"Marguerite",3
"14",13,"Mme.deR",2
"15",14,"Isabeau",2
"16",15,"Gervais",2
"17",16,"Tholomyes",3
"18",17,"Listolier",3
"19",18,"Fameuil",3
"20",19,"Blacheville",3
"21",20,"Favourite",3
"22",21,"Dahlia",3
"23",22,"Zephine",3
"24",23,"Fantine",3
"25",24,"Mme.Thenardier",4
"26",25,"Thenardier",4
"27",26,"Cosette",5
"28",27,"Javert",4
"29",28,"Fauchelevent",0
"30",29,"Bamatabois",2
"31",30,"Perpetue",3
"32",31,"Simplice",2
"33",32,"Scaufflaire",2
"34",33,"Woman1",2
"35",34,"Judge",2
"36",35,"Champmathieu",2
"37",36,"Brevet",2
"38",37,"Chenildieu",2
"39",38,"Cochepaille",2
"40",39,"Pontmercy",4
"41",40,"Boulatruelle",6
"42",41,"Eponine",4
"43",42,"Anzelma",4
"44",43,"Woman2",5
"45",44,"MotherInnocent",0
"46",45,"Gribier",0
"47",46,"Jondrette",7
"48",47,"Mme.Burgon",7
"49",48,"Gavroche",8
"50",49,"Gillenormand",5
"51",50,"Magnon",5
"52",51,"Mlle.Gillenormand",5
"53",52,"Mme.Pontmercy",5
"54",53,"Mlle.Vaubois",5
"55",54,"Lt.Gillenormand",5
"56",55,"Marius",8
"57",56,"BaronessT",5
"58",57,"Mabeuf",8
"59",58,"Enjolras",8
"60",59,"Combeferre",8
"61",60,"Prouvaire",8
"62",61,"Feuilly",8
"63",62,"Courfeyrac",8
"64",63,"Bahorel",8
"65",64,"Bossuet",8
"66",65,"Joly",8
"67",66,"Grantaire",8
"68",67,"MotherPlutarch",9
"69",68,"Gueulemer",4
"70",69,"Babet",4
"71",70,"Claquesous",4
"72",71,"Montparnasse",4
"73",72,"Toussaint",5
"74",73,"Child1",10
"75",74,"Child2",10
"76",75,"Brujon",4
"77",76,"Mme.Hucheloup",8
