"","Term","Ont","N","DE","P.DE"
"1","multicellular organism development","BP",5304,192,8.55134516133472e-12
"2","cell surface receptor signaling pathway","BP",2485,110,1.69750592791992e-11
"3","anatomical structure development","BP",5810,204,2.26761971997321e-11
"4","tube morphogenesis","BP",903,56,2.48240207612906e-11
"5","regulation of response to stimulus","BP",3866,150,3.45463851871308e-11
"6","developmental process","BP",6193,213,4.4010170629315e-11
"7","morphogenesis of a branching structure","BP",240,26,7.98718428055589e-11
"8","cell adhesion","BP",1294,69,9.44224080142239e-11
"9","system development","BP",4726,172,1.29185252415394e-10
"10","biological adhesion","BP",1306,69,1.40855333541454e-10
"11","morphogenesis of a branching epithelium","BP",221,24,4.07402449855498e-10
"12","cell chemotaxis","BP",299,28,4.53674885507032e-10
"13","regulation of multicellular organismal process","BP",3239,128,5.0789891732645e-10
"14","cell differentiation","BP",4192,155,5.35156778926304e-10
"15","tube development","BP",1120,61,5.68776490724903e-10
"16","regulation of response to external stimulus","BP",770,48,6.03759007938056e-10
"17","positive regulation of developmental process","BP",1537,75,7.60872304005302e-10
"18","cellular developmental process","BP",4417,160,1.13996251867693e-09
"19","positive regulation of cell differentiation","BP",1097,59,1.78692584899174e-09
"20","blood vessel development","BP",719,45,1.883180079615e-09
"21","regulation of signal transduction","BP",2762,112,1.99563511776299e-09
"22","vasculature development","BP",751,46,2.43447416819861e-09
"23","regulation of multicellular organismal development","BP",2177,94,2.47874285229552e-09
"24","positive regulation of cellular process","BP",5438,186,2.78623086227575e-09
"25","positive regulation of biological process","BP",6144,204,3.66200219375165e-09
"26","cardiovascular system development","BP",764,46,4.15538101632212e-09
"27","leukocyte differentiation","BP",567,38,5.77690812175243e-09
"28","regulation of developmental process","BP",2713,109,5.79623401039764e-09
"29","positive regulation of multicellular organismal process","BP",1924,85,5.79826681492742e-09
"30","animal organ development","BP",3487,131,7.46601837270156e-09
"31","biological regulation","BP",12093,346,1.12267918920007e-08
"32","positive regulation of angiogenesis","BP",185,20,1.27173472334424e-08
"33","inflammatory response","BP",687,42,1.30762256522762e-08
"34","regulation of cell differentiation","BP",1905,83,1.68314123914327e-08
"35","phosphorylation","BP",2165,91,1.70687663053252e-08
"36","chemotaxis","BP",596,38,2.19284298778216e-08
"37","blood vessel morphogenesis","BP",622,39,2.23596017995727e-08
"38","tissue morphogenesis","BP",674,41,2.25023928748651e-08
"39","leukocyte chemotaxis","BP",211,21,2.39407234091473e-08
"40","regulation of localization","BP",2821,110,2.45500865968287e-08
"41","phosphate-containing compound metabolic process","BP",2925,113,2.48752502995389e-08
"42","taxis","BP",599,38,2.50310578329084e-08
"43","phosphorus metabolic process","BP",2947,113,3.72810411165314e-08
"44","circulatory system development","BP",1138,57,4.15703238818681e-08
"45","branching morphogenesis of an epithelial tube","BP",184,19,6.16504128920567e-08
"46","anatomical structure formation involved in morphogenesis","BP",1153,57,6.47988085146352e-08
"47","positive regulation of vasculature development","BP",204,20,6.62452601122545e-08
"48","epithelial cell proliferation","BP",424,30,7.34669072503326e-08
"49","protein phosphorylation","BP",1813,78,8.19075473705953e-08
"50","negative regulation of response to stimulus","BP",1568,70,1.0297399172787e-07
"51","leukocyte migration","BP",340,26,1.21383601437048e-07
"52","regulation of cell migration","BP",887,47,1.36924832087617e-07
"53","response to stimulus","BP",9497,280,1.36978663461991e-07
"54","localization","BP",5919,191,1.50918532110701e-07
"55","tissue development","BP",1945,81,1.74898713120731e-07
"56","cellular process","BP",15749,421,1.83399824150322e-07
"57","anatomical structure morphogenesis","BP",2728,104,1.9877340026493e-07
"58","cell migration","BP",1441,65,2.13715220209294e-07
"59","cell development","BP",2393,94,2.30524527132172e-07
"60","regulation of cellular component movement","BP",1020,51,2.36724567277266e-07
"61","regulation of cell motility","BP",934,48,2.46717411460472e-07
"62","regulation of signaling","BP",3341,121,2.53847375912558e-07
"63","positive regulation of metabolic process","BP",3462,124,3.13751551934099e-07
"64","positive regulation of cellular metabolic process","BP",3176,116,3.14241185994351e-07
"65","regulation of cell communication","BP",3319,120,3.16252775750109e-07
"66","negative regulation of multicellular organismal process","BP",1339,61,3.74717433485712e-07
"67","regulation of locomotion","BP",1012,50,4.45238345963162e-07
"68","angiogenesis","BP",513,32,4.68950282169761e-07
"69","response to external stimulus","BP",2510,96,5.63019176085312e-07
"70","positive regulation of phosphorus metabolic process","BP",1110,53,5.65721310076694e-07
"71","positive regulation of phosphate metabolic process","BP",1110,53,5.65721310076694e-07
"72","regulation of chemotaxis","BP",212,19,5.69416298586024e-07
"73","positive regulation of nitrogen compound metabolic process","BP",3036,111,5.77650245207675e-07
"74","regulation of cellular metabolic process","BP",5376,174,6.27809140685274e-07
"75","locomotion","BP",1809,75,6.31922280894258e-07
"76","negative regulation of transcription by RNA polymerase II","BP",850,44,6.56716057426223e-07
"77","positive regulation of macromolecule metabolic process","BP",3187,115,6.63429579825264e-07
