"","Pathway","N","DE","P.DE"
"path:mmu00010","Glycolysis / Gluconeogenesis",66,2,0.552628556110354
"path:mmu00020","Citrate cycle (TCA cycle)",32,0,1
"path:mmu00030","Pentose phosphate pathway",32,0,1
"path:mmu00040","Pentose and glucuronate interconversions",34,1,0.617839810574413
"path:mmu00051","Fructose and mannose metabolism",35,2,0.254650226701383
"path:mmu00052","Galactose metabolism",32,3,0.0584645390041439
"path:mmu00053","Ascorbate and aldarate metabolism",27,0,1
"path:mmu00061","Fatty acid biosynthesis",19,1,0.415540380620372
"path:mmu00062","Fatty acid elongation",29,1,0.559663571327525
"path:mmu00071","Fatty acid degradation",50,2,0.407716858346045
"path:mmu00072","Synthesis and degradation of ketone bodies",11,0,1
"path:mmu00100","Steroid biosynthesis",20,0,1
"path:mmu00120","Primary bile acid biosynthesis",16,0,1
"path:mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis",11,0,1
"path:mmu00140","Steroid hormone biosynthesis",89,2,0.714047896918699
"path:mmu00190","Oxidative phosphorylation",133,2,0.889397763481027
"path:mmu00220","Arginine biosynthesis",19,2,0.0968264831404009
"path:mmu00230","Purine metabolism",136,2,0.896669435024829
"path:mmu00232","Caffeine metabolism",6,0,1
"path:mmu00240","Pyrimidine metabolism",58,1,0.80664621866109
"path:mmu00250","Alanine, aspartate and glutamate metabolism",38,2,0.285868450856876
"path:mmu00260","Glycine, serine and threonine metabolism",40,3,0.0993426709458155
"path:mmu00270","Cysteine and methionine metabolism",52,2,0.427133451650309
"path:mmu00280","Valine, leucine and isoleucine degradation",56,1,0.795335566379366
"path:mmu00290","Valine, leucine and isoleucine biosynthesis",4,0,1
"path:mmu00310","Lysine degradation",61,1,0.822455516366015
"path:mmu00330","Arginine and proline metabolism",50,1,0.757296200868094
"path:mmu00340","Histidine metabolism",24,1,0.492673411273065
"path:mmu00350","Tyrosine metabolism",40,1,0.677632953308116
"path:mmu00360","Phenylalanine metabolism",23,0,1
"path:mmu00380","Tryptophan metabolism",48,2,0.387988813916845
"path:mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",8,0,1
"path:mmu00410","beta-Alanine metabolism",32,2,0.223516648384837
"path:mmu00430","Taurine and hypotaurine metabolism",11,2,0.0359782880979457
"path:mmu00440","Phosphonate and phosphinate metabolism",6,0,1
"path:mmu00450","Selenocompound metabolism",17,0,1
"path:mmu00471","D-Glutamine and D-glutamate metabolism",4,1,0.106820253904991
"path:mmu00472","D-Arginine and D-ornithine metabolism",1,0,1
"path:mmu00480","Glutathione metabolism",65,3,0.271015276409626
"path:mmu00500","Starch and sucrose metabolism",33,1,0.60685190725163
"path:mmu00510","N-Glycan biosynthesis",50,2,0.407716858346045
"path:mmu00511","Other glycan degradation",18,0,1
"path:mmu00512","Mucin type O-glycan biosynthesis",28,0,1
"path:mmu00513","Various types of N-glycan biosynthesis",40,2,0.306618348471707
"path:mmu00514","Other types of O-glycan biosynthesis",43,0,1
"path:mmu00515","Mannose type O-glycan biosynthesis",23,1,0.478104094318442
"path:mmu00520","Amino sugar and nucleotide sugar metabolism",49,2,0.397890031363711
"path:mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",5,0,1
"path:mmu00531","Glycosaminoglycan degradation",21,1,0.447703758164208
"path:mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,1,0.431848678440273
"path:mmu00533","Glycosaminoglycan biosynthesis - keratan sulfate",14,1,0.326736115189081
"path:mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",24,0,1
"path:mmu00561","Glycerolipid metabolism",61,4,0.0894807413749139
"path:mmu00562","Inositol phosphate metabolism",73,4,0.145471052578234
"path:mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",25,1,0.506837649906428
"path:mmu00564","Glycerophospholipid metabolism",97,4,0.284685845282473
"path:mmu00565","Ether lipid metabolism",47,0,1
"path:mmu00590","Arachidonic acid metabolism",89,1,0.92003213452586
"path:mmu00591","Linoleic acid metabolism",50,0,1
"path:mmu00592","alpha-Linolenic acid metabolism",25,0,1
"path:mmu00600","Sphingolipid metabolism",48,0,1
"path:mmu00601","Glycosphingolipid biosynthesis - lacto and neolacto series",27,1,0.5339954507687
"path:mmu00603","Glycosphingolipid biosynthesis - globo and isoglobo series",16,1,0.363765342960831
"path:mmu00604","Glycosphingolipid biosynthesis - ganglio series",15,2,0.0638811802953013
"path:mmu00620","Pyruvate metabolism",38,1,0.658816485018186
