"","Term","Ont","N","DE","P.DE"
"1","multicellular organism development","BP",5362,193,1.20139541446339e-11
"2","cell surface receptor signaling pathway","BP",2497,110,2.2452776086244e-11
"3","tube morphogenesis","BP",905,56,2.67816877416919e-11
"4","anatomical structure development","BP",5871,205,3.23467381475463e-11
"5","regulation of response to stimulus","BP",3883,150,4.71487774367075e-11
"6","developmental process","BP",6258,214,6.52551577350776e-11
"7","morphogenesis of a branching structure","BP",240,26,7.94536382415713e-11
"8","cell adhesion","BP",1298,69,1.06835583884856e-10
"9","biological adhesion","BP",1310,69,1.59050042508384e-10
"10","system development","BP",4746,172,1.78317014378843e-10
"11","morphogenesis of a branching epithelium","BP",221,24,4.05431595563505e-10
"12","cell chemotaxis","BP",299,28,4.51215355495852e-10
"13","regulation of multicellular organismal process","BP",3248,128,5.97313363570049e-10
"14","regulation of response to external stimulus","BP",770,48,5.9897179440403e-10
"15","tube development","BP",1122,61,6.03854488939204e-10
"16","positive regulation of developmental process","BP",1540,75,8.20674885345852e-10
"17","cell differentiation","BP",4218,155,8.25888167527508e-10
"18","cellular developmental process","BP",4443,160,1.72507267180266e-09
"19","positive regulation of cell differentiation","BP",1097,59,1.77090248339772e-09
"20","blood vessel development","BP",719,45,1.86916190454633e-09
"21","vasculature development","BP",752,46,2.51891488577296e-09
"22","regulation of signal transduction","BP",2780,112,2.84636986838103e-09
"23","regulation of multicellular organismal development","BP",2184,94,2.87805040209615e-09
"24","cardiovascular system development","BP",765,46,4.29503615411038e-09
"25","positive regulation of cellular process","BP",5469,186,4.32305250277841e-09
"26","inflammatory response","BP",691,43,5.1488838257991e-09
"27","positive regulation of biological process","BP",6171,204,5.23321650048354e-09
"28","leukocyte differentiation","BP",567,38,5.739386812397e-09
"29","positive regulation of multicellular organismal process","BP",1929,85,6.46492026135385e-09
"30","regulation of developmental process","BP",2721,109,6.71786065675607e-09
"31","animal organ development","BP",3504,131,9.92000434357483e-09
"32","positive regulation of angiogenesis","BP",185,20,1.26660781829109e-08
"33","phosphorylation","BP",2166,91,1.72459937044311e-08
"34","biological regulation","BP",12135,346,1.74125762258217e-08
"35","regulation of cell differentiation","BP",1909,83,1.82794282602558e-08
"36","blood vessel morphogenesis","BP",622,39,2.22153444924095e-08
"37","chemotaxis","BP",597,38,2.27747947087276e-08
"38","leukocyte chemotaxis","BP",211,21,2.38415406655485e-08
"39","tissue morphogenesis","BP",677,41,2.5281067112569e-08
"40","taxis","BP",600,38,2.59887428380465e-08
"41","phosphate-containing compound metabolic process","BP",2933,113,2.84633669298975e-08
"42","regulation of localization","BP",2835,110,3.15262661419147e-08
"43","phosphorus metabolic process","BP",2955,113,4.25561976039618e-08
"44","circulatory system development","BP",1143,57,4.78595168336395e-08
"45","branching morphogenesis of an epithelial tube","BP",184,19,6.1416885457483e-08
"46","positive regulation of vasculature development","BP",204,20,6.5984845674709e-08
"47","anatomical structure formation involved in morphogenesis","BP",1157,57,7.22227317674552e-08
"48","epithelial cell proliferation","BP",425,30,7.69551305883464e-08
"49","protein phosphorylation","BP",1815,78,8.48563701442463e-08
"50","leukocyte migration","BP",340,26,1.20812617144173e-07
"51","negative regulation of response to stimulus","BP",1576,70,1.2383001524378e-07
"52","regulation of cell migration","BP",892,47,1.60148313585549e-07
"53","response to stimulus","BP",9531,280,1.93059429035019e-07
"54","tissue development","BP",1956,81,2.18538033772118e-07
"55","localization","BP",5950,191,2.18990328970758e-07
"56","cell migration","BP",1447,65,2.4565509654831e-07
"57","anatomical structure morphogenesis","BP",2744,104,2.60829032969373e-07
"58","regulation of cell motility","BP",939,48,2.86164119817297e-07
"59","cell development","BP",2406,94,2.91226027442435e-07
"60","regulation of cellular component movement","BP",1028,51,2.97707558976005e-07
"61","cellular process","BP",15803,421,3.10224142518815e-07
"62","regulation of signaling","BP",3360,121,3.38981299343315e-07
"63","negative regulation of multicellular organismal process","BP",1343,61,4.10930055971233e-07
"64","regulation of cell communication","BP",3338,120,4.21700313413257e-07
"65","positive regulation of metabolic process","BP",3486,124,4.49066758226962e-07
"66","positive regulation of cellular metabolic process","BP",3201,116,4.64351749965735e-07
"67","angiogenesis","BP",513,32,4.66474223988216e-07
"68","regulation of locomotion","BP",1018,50,5.26038141382022e-07
"69","positive regulation of phosphorus metabolic process","BP",1112,53,5.93151484920412e-07
"70","positive regulation of phosphate metabolic process","BP",1112,53,5.93151484920412e-07
"71","response to external stimulus","BP",2515,96,6.08773744613444e-07
"72","regulation of chemotaxis","BP",213,19,6.09729600179071e-07
"73","locomotion","BP",1817,75,7.40099326249417e-07
"74","hematopoietic or lymphoid organ development","BP",972,48,7.7024672113243e-07
"75","negative regulation of transcription by RNA polymerase II","BP",857,44,8.12618537700956e-07
"76","regulation of cellular metabolic process","BP",5401,174,8.42571890604829e-07
"77","positive regulation of nitrogen compound metabolic process","BP",3061,111,8.53123643869515e-07
"78","regulation of phosphorus metabolic process","BP",1693,71,8.55173739586373e-07
"79","response to stress","BP",3640,127,8.83293865992435e-07
"80","positive regulation of chemotaxis","BP",140,15,9.36124512426556e-07
"81","positive regulation of macromolecule metabolic process","BP",3212,115,9.68506442645023e-07
"82","positive regulation of phosphorylation","BP",1043,50,1.06475839324061e-06
"83","positive regulation of cellular biosynthetic process","BP",1903,77,1.11012419896575e-06
"84","positive regulation of response to external stimulus","BP",312,23,1.21601061953632e-06
"85","positive regulation of protein phosphorylation","BP",989,48,1.25348698089623e-06
"86","positive regulation of biosynthetic process","BP",1943,78,1.26731680430325e-06
"87","regulation of phosphate metabolic process","BP",1692,70,1.67068924183112e-06
"88","regulation of transcription, DNA-templated","BP",2784,102,1.67295529453069e-06
"89","regulation of body fluid levels","BP",342,24,1.709749349891e-06
"90","myeloid leukocyte migration","BP",207,18,1.73556779758577e-06
"91","negative regulation of signaling","BP",1310,58,1.81286509203347e-06
"92","response to chemical","BP",4136,139,1.86262596600176e-06
"93","regulation of nucleic acid-templated transcription","BP",2792,102,1.90345035802017e-06
"94","response to wounding","BP",495,30,1.92075029430128e-06
"95","positive regulation of transcription, DNA-templated","BP",1536,65,1.9279768128938e-06
"96","organic substance metabolic process","BP",10008,286,1.93847809934621e-06
"97","positive regulation of macromolecule biosynthetic process","BP",1799,73,1.9730566500377e-06
"98","calcium-mediated signaling","BP",209,18,1.99221056657462e-06
"99","positive regulation of nucleic acid-templated transcription","BP",1540,65,2.10310211445049e-06
"100","positive regulation of RNA biosynthetic process","BP",1541,65,2.14915806286498e-06
"101","generation of neurons","BP",1672,69,2.1791064812801e-06
"102","regulation of RNA biosynthetic process","BP",2801,102,2.19852369888358e-06
"103","hemopoiesis","BP",921,45,2.28809001235094e-06
"104","regulation of biological process","BP",11520,321,2.28929981954715e-06
"105","regulation of metabolic process","BP",5953,186,2.32864918855818e-06
"106","morphogenesis of an epithelium","BP",553,32,2.34174038468724e-06
"107","secretion","BP",1227,55,2.3634020719478e-06
"108","regulation of intracellular signal transduction","BP",1710,70,2.42129750969508e-06
"109","regulation of transport","BP",1946,77,2.56609419257494e-06
"110","movement of cell or subcellular component","BP",2014,79,2.5940838526663e-06
"111","positive regulation of gene expression","BP",1981,78,2.63133579083223e-06
"112","epithelium development","BP",1172,53,2.82455444011965e-06
"113","second-messenger-mediated signaling","BP",427,27,2.85631637964871e-06
"114","intracellular signal transduction","BP",2608,96,2.96522054280503e-06
"115","nervous system development","BP",2333,88,3.16604961960752e-06
"116","positive regulation of peptidyl-tyrosine phosphorylation","BP",195,17,3.23740408234204e-06
"117","regulation of angiogenesis","BP",307,22,3.28029350817535e-06
"118","cell motility","BP",1595,66,3.38885182421874e-06
"119","localization of cell","BP",1595,66,3.38885182421874e-06
"120","negative regulation of cell communication","BP",1306,57,3.4612891699705e-06
"121","regulation of phosphorylation","BP",1533,64,3.62805566983462e-06
"122","regulation of epithelial cell proliferation","BP",358,24,3.77285630915761e-06
"123","immune system development","BP",1030,48,3.81801409634694e-06
"124","regulation of biological quality","BP",4051,135,4.35011048837165e-06
"125","metabolic process","BP",10485,295,4.82046995756646e-06
"126","neurogenesis","BP",1778,71,4.83398508501951e-06
"127","negative regulation of developmental process","BP",1070,49,4.85823926633937e-06
"128","regulation of cell proliferation","BP",1649,67,5.21574754869285e-06
"129","neurotransmitter biosynthetic process","BP",104,12,5.27112245890901e-06
"130","positive regulation of response to stimulus","BP",2294,86,5.30205463829208e-06
"131","regulation of vasculature development","BP",341,23,5.41843808733129e-06
"132","regulation of anatomical structure morphogenesis","BP",1076,49,5.65061675439969e-06
"133","granulocyte chemotaxis","BP",123,13,5.75567650743601e-06
"134","regulation of molecular function","BP",2477,91,6.10757795108226e-06
"135","negative regulation of cellular process","BP",4687,151,6.45612823277604e-06
"136","negative regulation of signal transduction","BP",1175,52,6.47187561308066e-06
"137","regulation of cellular process","BP",10774,301,6.5476293650693e-06
"138","transcription, DNA-templated","BP",2875,102,6.8880659195828e-06
"139","regulation of response to stress","BP",1337,57,6.96907050476937e-06
"140","positive regulation of cytokine production","BP",449,27,7.2048215800718e-06
"141","immune system process","BP",2664,96,7.21169334238513e-06
"142","positive regulation of nucleobase-containing compound metabolic process","BP",1833,72,7.2649874284466e-06
"143","cytokine production","BP",755,38,7.32470056751657e-06
"144","negative regulation of biological process","BP",5278,166,7.59994323982366e-06
"145","nucleic acid-templated transcription","BP",2883,102,7.7582535423514e-06
"146","animal organ morphogenesis","BP",1090,49,7.98921968852852e-06
"147","primary metabolic process","BP",9443,269,8.02275144829872e-06
"148","positive regulation of RNA metabolic process","BP",1638,66,8.08700164198673e-06
"149","mammary gland alveolus development","BP",22,6,8.16065728244167e-06
"150","mammary gland lobule development","BP",22,6,8.16065728244167e-06
"151","regulation of biosynthetic process","BP",3542,120,8.18318202269973e-06
"152","regulation of cellular biosynthetic process","BP",3470,118,8.36896994537478e-06
"153","regulation of protein phosphorylation","BP",1410,59,8.37026380422783e-06
"154","regulation of catalytic activity","BP",1807,71,8.38310100022552e-06
"155","regulation of primary metabolic process","BP",5248,165,8.38966569572431e-06
"156","neurotransmitter metabolic process","BP",147,14,8.60754470956453e-06
"157","cellular metabolic process","BP",9374,267,9.18977207938905e-06
"158","RNA biosynthetic process","BP",2896,102,9.39567297354322e-06
"159","regulation of inflammatory response","BP",354,23,9.97455611823823e-06
"160","regulation of cytokine production","BP",679,35,1.01763195100643e-05
"161","epithelial tube morphogenesis","BP",380,24,1.03143991354788e-05
"162","regulation of leukocyte chemotaxis","BP",111,12,1.03866877006774e-05
"163","secretion by cell","BP",1070,48,1.04748641454222e-05
"164","positive regulation of cytokine secretion","BP",150,14,1.08633216059666e-05
"165","regulation of transcription by RNA polymerase II","BP",1993,76,1.12232879606538e-05
"166","cell proliferation","BP",1994,76,1.14209180282443e-05
"167","enzyme linked receptor protein signaling pathway","BP",890,42,1.16237359455395e-05
"168","positive regulation of molecular function","BP",1429,59,1.24589530177559e-05
"169","myeloid leukocyte differentiation","BP",216,17,1.26615713466193e-05
"170","negative regulation of transcription, DNA-templated","BP",1177,51,1.41133717120764e-05
"171","defense response","BP",1601,64,1.43533043653962e-05
"172","negative regulation of nucleic acid-templated transcription","BP",1181,51,1.54522169334625e-05
"173","chemical homeostasis","BP",1182,51,1.58047983214353e-05
"174","negative regulation of RNA biosynthetic process","BP",1182,51,1.58047983214353e-05
"175","extracellular structure organization","BP",315,21,1.64068221528552e-05
"176","heterocycle biosynthetic process","BP",3374,114,1.66110630306566e-05
"177","positive regulation of epithelial cell proliferation","BP",199,16,1.73934897985898e-05
"178","regulation of RNA metabolic process","BP",3049,105,1.76824867534299e-05
"179","regulation of leukocyte differentiation","BP",294,20,1.94274598838164e-05
"180","aromatic compound biosynthetic process","BP",3386,114,1.94522558623123e-05
"181","regulation of leukocyte migration","BP",201,16,1.96885756410324e-05
"182","peptidyl-tyrosine phosphorylation","BP",319,21,1.98040872540869e-05
"183","peptidyl-tyrosine modification","BP",322,21,2.27536279948312e-05
"184","organic cyclic compound biosynthetic process","BP",3510,117,2.30004594069991e-05
"185","regulation of morphogenesis of a branching structure","BP",67,9,2.32292118244437e-05
"186","multicellular organismal process","BP",8233,237,2.3725930183148e-05
"187","biosynthetic process","BP",5125,159,2.80539794854549e-05
"188","transcription by RNA polymerase II","BP",2049,76,2.89229125372015e-05
"189","positive regulation of protein modification process","BP",1210,51,2.92731914295089e-05
"190","positive regulation of hemopoiesis","BP",208,16,2.9983106645302e-05
