"","geneid_symbol","BS_14A1","BS_14A2","BS_14A3","BS_14L1","BS_14L2","BS_14L3","BS_3A5","BS_3A6","BS_3A7","BS_3L3","BS_3L4","BS_3L5","BS_Naive1","BS_Naive2","BS_Naive3"
"ENSMUSG00000000001.4","Gnai3",83.313127,69.929783,32.375433,87.402246,60.714953,40.07256,52.789793,51.321947,44.119524,51.86842,65.764477,53.210996,53.97283,52.471514,46.477457
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",5.215634,2.072548,16.238586,17.570976,7.736052,6.856601,1.07775,4.179163,3.24715,2.367436,6.39496,1.215341,1.156499,0,4.643053
"ENSMUSG00000000037.17","Scml2",0,0,0,0,2.354842,0,0,0.802926,0,0,0,0.239829,0,0,0.363734
"ENSMUSG00000000049.11","Apoh",0,0,0,0,25.815157,0,0,0.938624,0,0,0,0,0,0,0
"ENSMUSG00000000056.7","Narf",25.326885,23.128066,37.744208,46.356852,34.18135,13.155581,24.297255,30.994527,34.695774,32.67742,29.201423,30.978857,27.865042,33.28898,27.594792
"ENSMUSG00000000058.6","Cav2",0,0,24.611133,10.489071,0.990805,2.706811,7.26435,4.388602,4.419494,11.109105,4.411013,2.844283,6.792575,0,1.843509
"ENSMUSG00000000078.7","Klf6",429.260148,399.574215,374.894263,341.483245,548.94812,332.708911,726.793567,616.247675,447.94982,376.043512,387.362334,313.521413,434.639223,642.133627,426.58558
"ENSMUSG00000000085.16","Scmh1",48.924221,53.617189,24.622378,69.420313,59.042735,66.271811,40.806851,35.919224,54.526849,34.329493,39.556779,85.540287,41.192569,41.082792,36.78684
"ENSMUSG00000000088.7","Cox5a",44.268207,47.68639,29.402341,317.173665,60.327658,41.944293,46.74961,52.791664,82.277068,64.976828,56.321334,35.436945,37.22037,215.272171,42.08885
"ENSMUSG00000000093.6","Tbx2",0,0.628604,0,0,1.467367,1.996734,0.578455,1.844709,0.874125,0.809113,0.154372,0,0,0.140276,1.56142
"ENSMUSG00000000094.12","Tbx4",0,0,0,0,0,0,0,1.009181,0,0,0,0.871613,1.138889,0,0.7259
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0.210391,0,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",0,0,0,0,2.322539,0,0.174288,0.400725,0,0,0,0.247428,0,0.14812,0.411847
"ENSMUSG00000000125.5","Wnt3",0,0,0,0,2.619771,0,0,2.001378,0,0,0,0,0.624435,0,1.161012
"ENSMUSG00000000126.11","Wnt9a",0,0,0,0,0,0,0,0.834143,0,0,0,0.257469,0.288084,4.010607,0.535785
"ENSMUSG00000000127.15","Fer",11.301965,9.188218,7.359394,10.913747,17.659374,15.313166,17.327042,11.671729,10.305743,13.327457,11.831598,9.027398,8.695999,19.188713,10.507702
"ENSMUSG00000000131.15","Xpo6",33.142611,46.014486,69.045103,198.986414,51.678847,55.368049,46.505043,57.659004,43.75883,49.089117,46.814675,43.455309,79.826526,376.660025,51.204966
"ENSMUSG00000000134.17","Tfe3",279.442048,200.265754,279.551833,65.827297,191.677416,151.91477,264.425295,230.705081,204.644058,261.409568,205.294272,187.333055,168.852207,136.746863,205.500356
"ENSMUSG00000000142.15","Axin2",2.746764,3.176238,0,49.337974,0,0,0,2.755004,3.522885,0.299023,0,0.68039,1.21373,0,4.812928
"ENSMUSG00000000148.17","Brat1",28.334822,29.12294,11.015867,6.926748,32.344462,25.004046,32.385593,34.917852,35.034473,31.675277,36.373801,27.392953,24.913587,57.269487,30.285256
"ENSMUSG00000000149.10","Gna12",282.841537,265.037945,188.622641,34.989835,289.662147,322.802976,311.495552,239.139779,257.518009,342.322508,305.792897,289.386076,295.122351,206.478517,321.305902
"ENSMUSG00000000154.16","Slc22a18",0,0,0,0,2.107198,2.006175,0,1.112106,0,0,1.140877,0,2.673246,0,0.837121
"ENSMUSG00000000157.16","Itgb2l",10.976774,14.126805,12.069787,56.562139,10.19359,7.535483,8.291329,1.856102,8.844242,13.622737,80.375366,1.845459,26.814623,15.393721,7.203395
"ENSMUSG00000000159.16","Igsf5",1.353247,1.269602,0,0,0,0,0.592949,0.544316,2.478421,0,0,0.962683,0,0,1.212507
"ENSMUSG00000000167.14","Pih1d2",0,0,0,0,0,0,0,3.231183,1.220884,0,3.109269,4.887902,0,0,1.534334
"ENSMUSG00000000168.9","Dlat",20.588338,15.808767,1.807,25.398905,19.672325,17.962737,10.352377,32.473763,15.959707,11.716869,17.504455,26.390835,12.713493,77.898385,11.912738
"ENSMUSG00000000171.5","Sdhd",47.106869,54.567817,75.699237,84.908771,14.48021,30.569841,43.203848,42.518723,47.341805,40.685039,44.123472,38.810621,46.66282,19.471103,47.251782
"ENSMUSG00000000182.9","Fgf23",0,0,0,0,0,0,0,1.830806,0,1.137675,0,0,0,10.81592,1.027939
"ENSMUSG00000000183.6","Fgf6",0,0,0,0,0,0,0,1.461649,1.979973,0,0,0.903706,0.605347,3.874663,0.601056
"ENSMUSG00000000184.12","Ccnd2",0.23458,0.352285,1.889625,70.726026,4.93015,0.0856,1.255574,2.451576,1.009455,0.702639,3.173101,0.395108,5.478828,0,2.450837
"ENSMUSG00000000194.13","Gpr107",28.818375,25.86844,127.375114,39.848582,51.396908,22.640088,34.740755,32.932392,41.849799,38.789011,37.20419,47.027079,34.879255,61.95232,43.535519
"ENSMUSG00000000197.8","Nalcn",0,0,0,0,0,0,0,1.799767,0.350053,0,0,2.003851,0.481568,5.640265,0.630574
"ENSMUSG00000000202.9","Btbd17",0,0,0,0,3.295671,0,0,0.865283,1.768391,0,5.182201,0,0.804782,0,2.352825
"ENSMUSG00000000204.16","Slfn4",14.255277,19.374225,3.953613,242.155496,8.693727,4.205531,2.748815,0.106141,9.675245,6.445248,29.835235,0.243624,25.371528,0,3.115717
"ENSMUSG00000000214.11","Th",0,0,0,0,0,0,0,0,0,0,0,2.182754,0,0,0
"ENSMUSG00000000215.11","Ins2",2.576219,10.621974,0,0,72.77628,0,0,4.749481,0,0,0,0,0,0,3.308097
"ENSMUSG00000000216.8","Scnn1g",0.513166,0.385267,0,0,0,0,0,0.665128,0,0,0,0,0.965049,0,0
"ENSMUSG00000000223.13","Drp2",0,0,1.671226,0,0,0,0,0.827678,1.351249,0.080175,0,1.619209,0.763705,0,0.238803
"ENSMUSG00000000244.17","Tspan32",9.83065,16.719629,0,20.209476,7.199852,29.829647,9.298941,11.322902,14.438825,18.234715,20.084517,12.367242,12.035015,24.392804,6.05362
