"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,522,69,250,-6.39671972071635,7.63309241075604,4.25420662422634e-44,7.22321742727391e-40
"ENSMUSG00000000028.15","Cdc45",0,2,1,46,0,13,-6.23461375765903,6.48997680017222,1.54881291673162e-36,1.31486472565931e-32
"ENSMUSG00000000056.7","Narf",213,245,225,322,36,103,7.57228357849316,3.93896280558024,6.88441333220803e-14,3.89634846558534e-10
"ENSMUSG00000000058.6","Cav2",36,22,0,8,0,6,2.3600348865944,8.20651626991685,1.64767875646177e-12,6.99398440149109e-09
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,3164,581,2481,2.72117842451409,5.74778965583816,1.64666504547654e-11,5.27961347032023e-08
"ENSMUSG00000000085.16","Scmh1",104,195,92,178,26,88,2.32711285639841,6.94736506823658,1.86569767488789e-11,5.27961347032023e-08
"ENSMUSG00000000088.7","Cox5a",46,40,39,63,7,53,2.54966779803354,5.48832434819815,1.71462621967101e-09,4.15894836911343e-06
"ENSMUSG00000000093.6","Tbx2",10,5,0,3,0,1,2.3118811947697,5.66238824169251,1.09160748673783e-08,2.23345919263969e-05
"ENSMUSG00000000094.12","Tbx4",0,1,0,11,0,7,1.87423134297382,8.991335070346,1.18388201506315e-08,2.23345919263969e-05
"ENSMUSG00000000120.6","Ngfr",8,1,0,0,0,2,1.99072397135241,6.0902877211472,3.54463986716142e-08,6.01844403045338e-05
"ENSMUSG00000000125.5","Wnt3",0,1,0,12,0,10,-2.5423979692973,4.73573820703518,8.72425947434952e-08,0.000134662910559073
"ENSMUSG00000000126.11","Wnt9a",8,1,8,7,0,5,-1.69821350211544,8.10475282218612,1.49875462179968e-07,0.000212061289362807
"ENSMUSG00000000127.15","Fer",44,72,5,52,3,53,2.30919154747972,5.45319516354554,1.67542081278228e-07,0.000218822846001771
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,497,60,215.001,1.67830621521776,8.68861077517682,2.79934403629932e-07,0.000339500445659473
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,1543,160.999,667.001,3.36052035460172,4.12595385527161,3.61506479998862e-07,0.000409201234926712
"ENSMUSG00000000142.15","Axin2",0,1,0,3,0,5,3.22528565185137,4.13437128789034,8.25525125708614e-07,0.00087603694433791
"ENSMUSG00000000148.17","Brat1",145,178.001,103,169,20,93,1.50899702191988,11.5900078019058,1.02692727043894e-06,0.00102565871322251
"ENSMUSG00000000149.10","Gna12",1415,1829,951,1746,189,1240,2.79716146874398,4.29450713735787,2.25538672045903e-06,0.0020762363606613
"ENSMUSG00000000157.16","Itgb2l",9,11,6,284,7,15,1.48785787828957,7.32396594747731,2.44371941560949e-06,0.0020762363606613
"ENSMUSG00000000159.16","Igsf5",0,3,10,8,0,0,1.48450609049182,7.47504342253464,2.44565211221073e-06,0.0020762363606613
"ENSMUSG00000000167.14","Pih1d2",10,5,0,0,0,6,1.8777113366162,5.53356662739473,3.22299602221825e-06,0.00256320627549373
"ENSMUSG00000000168.9","Dlat",97,91,69,102,22,74,1.51514508226273,8.87713553624251,3.35872735280534e-06,0.00256320627549373
"ENSMUSG00000000171.5","Sdhd",30,114,71,181,20,63,1.63725056888184,6.06904988679112,3.63280774098946e-06,0.00256320627549373
"ENSMUSG00000000182.9","Fgf23",0,1,0,5,6,1,1.53493848619301,6.53514323077313,3.75697960599924e-06,0.00256320627549373
"ENSMUSG00000000183.6","Fgf6",0,4,5,18,2,5,1.64318095757868,6.36491416440706,3.77408309602115e-06,0.00256320627549373
"ENSMUSG00000000184.12","Ccnd2",36,31,1,48,0,16,4.96477280425712,3.26884079253991,4.14379101101416e-06,0.00270605490676959
"ENSMUSG00000000194.13","Gpr107",383,311,155,320,50,241,1.60108986231875,6.36070041408119,5.43857390573813e-06,0.00342005727205658
"ENSMUSG00000000197.8","Nalcn",10,3,0,30,2,4,1.49343545552727,7.41673848331709,6.88588711296335e-06,0.00408267346889884
"ENSMUSG00000000202.9","Btbd17",24,2,0,6,0,2,1.69465668847814,5.86423877171702,6.97317454491232e-06,0.00408267346889884
"ENSMUSG00000000204.16","Slfn4",3,6,5,141,5,11,1.43943632092114,7.47040094703458,1.32347590862305e-05,0.00749043248417026
"ENSMUSG00000000223.13","Drp2",0,6,0,1,0,1,2.13020566290252,4.80385722595091,1.37063473825334e-05,0.00750709910348499
"ENSMUSG00000000244.17","Tspan32",15,36,50,44,0,24,2.42996988098052,4.40381269394485,2.00594504678881e-05,0.010643419046696
"ENSMUSG00000000247.11","Lhx2",6,1,9,13,0,4,2.45584621015795,4.41721808872018,2.95140124966117e-05,0.0151854066115142
"ENSMUSG00000000253.13","Gmpr",139,129,26,111,1,75,2.07385458989895,4.89251755019742,3.32315312339366e-05,0.0165952402594414
"ENSMUSG00000000263.15","Glra1",0,1,0,3,0,2,4.17595091061139,3.32267652590746,4.12889226509473e-05,0.0200298462197267
"ENSMUSG00000000266.11","Mid2",0,7,0,15,0,5,2.05191427614072,4.6271500351658,4.93373385933106e-05,0.0232694075548839
"ENSMUSG00000000275.16","Trim25",176,205,44,413,69,127,2.57839949732919,4.02504131998479,8.44585591106817e-05,0.0377997549058629
"ENSMUSG00000000276.11","Dgke",47,35,35,46,9,22,-3.19713226199798,4.59572802820835,8.45980732918777e-05,0.0377997549058629
"ENSMUSG00000000278.10","Scpep1",207,283,165,313,36,234,1.20989601248911,10.0559542197743,8.82626665867249e-05,0.0384259439993847
"ENSMUSG00000000282.12","Mnt",229,376,97,385,29,260,2.30547030955023,4.3563529785493,9.56167637085325e-05,0.0404774999126963
"ENSMUSG00000000290.13","Itgb2",1500,1747,1040,2345.001,201,1160,-7.78994231599663,2.7028639296707,9.77429469592171e-05,0.0404774999126963
"ENSMUSG00000000295.13","Hddc2",15,8,0,9,0,6,5.2883747203858,2.70503615995478,0.000103723182984745,0.0419313315213806
"ENSMUSG00000000303.12","Cdh1",0,1,1,20,0,4,-4.07268416036099,3.06666741574998,0.000119563586526786,0.047210933386937
"ENSMUSG00000000305.12","Cdh4",4,9,1,11,0,9,2.14592065650342,4.42077734433376,0.000146466391289033,0.0565193831294656
"ENSMUSG00000000317.11","Bcl6b",2,3,0,2,0,2,1.30684574498034,6.10783567908618,0.000180505182141651,0.0681066108351797
"ENSMUSG00000000318.16","Clec10a",0,1,3.607,1,0,1,1.14587529371962,7.99625065087298,0.000196965896810182,0.0727018252595669
"ENSMUSG00000000320.10","Alox12",0,4,0,21,0,3,1.16544275351617,6.70421628631333,0.000260918404092969,0.0942581613424368
"ENSMUSG00000000325.16","Arvcf",267,283.001,168,237,39,198.001,-1.18125771547645,5.80774524473929,0.000267830433805757,0.0947394361580823
"ENSMUSG00000000326.13","Comt",311,418,445,634,58,416,1.11038111801927,8.63638262542977,0.000287388443948225,0.0995830283632024
"ENSMUSG00000000339.14","Rtca",22,50,18,58,11,27,1.53521286384879,5.20450716083632,0.000306206704675159,0.10398167277359
"ENSMUSG00000000340.10","Dbt",85,92,41,65,6,73,1.52386769186912,5.34345455231838,0.000352996323763665,0.117520089827123
"ENSMUSG00000000346.9","Dazap2",530,725,384,945,79,484,2.88011822525192,3.61776086810105,0.000398407529436875,0.128416380406491
"ENSMUSG00000000355.13","Mcts1",8,36,20,74,16,25,3.1839836930742,3.31790598085514,0.000400852120946112,0.128416380406491
"ENSMUSG00000000365.9","Rnf17",0,11,9,12,5,7,7.78953591051097,2.07166755194075,0.000432978762131252,0.13613974818938
