"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14L1","PVN_14L3_b1","PVN_14L4","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,282,736,86,-8.00897856555294,7.59325312826948,1.06233122549627e-08,0.000190433495482462
"ENSMUSG00000000028.15","Cdc45",0,2,1,20,0,3,1.62613862508613,11.7045398861112,5.75598865117363e-08,0.000515909262804692
"ENSMUSG00000000037.17","Scml2",0,0,0,4,0,1,2.25039523839244,8.16400238554193,6.01582708550427e-07,0.00359465721115832
"ENSMUSG00000000056.7","Narf",213,245,225,245,462,100,2.12635425198893,4.83990255694444,2.37152558730358e-06,0.010627991919501
"ENSMUSG00000000058.6","Cav2",36,22,0,12,28,7,-6.86196411616843,6.4469246715887,3.72096425197245e-06,0.0133404010361716
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,2943,8485,606,4.80928460670525,3.43316886808384,5.74577295740332e-06,0.0150021349644086
"ENSMUSG00000000085.16","Scmh1",104,195,92,209,261.999,64,2.83985260319335,4.797076443564,5.85824750367401e-06,0.0150021349644086
"ENSMUSG00000000088.7","Cox5a",46,40,39,48,137.999,8,1.40731511654316,6.49742017649037,7.68855537907166e-06,0.0172281304656548
"ENSMUSG00000000093.6","Tbx2",10,5,0,2,0,2,-8.92604284357053,3.31748390825456,1.12646856890226e-05,0.0224367506290465
"ENSMUSG00000000120.6","Ngfr",8,1,0,5,1,0,2.81110747511232,3.81157029685444,2.42198865873661e-05,0.0434165686965124
"ENSMUSG00000000125.5","Wnt3",0,1,0,7,0,14,3.43407876182543,3.54281697579184,2.90121559389845e-05,0.0472792643056578
"ENSMUSG00000000126.11","Wnt9a",8,1,8,4,0,1,2.10165101009222,5.55284275884357,5.05938301587851e-05,0.0704544248011133
"ENSMUSG00000000127.15","Fer",44,72,5,48,189,30,1.33297914263983,10.1653595307976,5.10938035487266e-05,0.0704544248011133
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,361,663,147,2.31675623364419,5.48380567013987,8.93982714242757e-05,0.114468100967969
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,972,1875,390.001,2.06337826302742,6.80040659537343,0.000106908036279063,0.127762230555899
"ENSMUSG00000000148.17","Brat1",145,178.001,103,126,401,48.999,-8.21899208299525,2.69393638756098,0.000195207870257058,0.204745667605988
"ENSMUSG00000000149.10","Gna12",1415,1829,951,1445,3124,447,-1.01537587080459,6.7200608724027,0.000203980438097472,0.204745667605988
"ENSMUSG00000000154.16","Slc22a18",0,4,0,1,0,5,7.87107952999793,2.39401316451796,0.000205590874534631,0.204745667605988
"ENSMUSG00000000157.16","Itgb2l",9,11,6,68,194,25,1.70633710413948,4.76245960355929,0.000349216517213288,0.329476594082389
"ENSMUSG00000000159.16","Igsf5",0,3,10,1,0,3,3.45760803247056,3.19972772924963,0.000384901441750243,0.344987162240743
"ENSMUSG00000000167.14","Pih1d2",10,5,0,5,0,1,3.61550222937251,3.10857663517935,0.000840643474417376,0.717589282019328
"ENSMUSG00000000168.9","Dlat",97,91,69,60,280,35,2.32496049293652,3.79010457453734,0.000888644689491348,0.724083850173723
