"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,354,617,1238,4.81779341826897,5.58432815860662,3.34587698550693e-21,5.47050887130383e-17
"ENSMUSG00000000028.15","Cdc45",0,2,1,101,29,21,5.18728317999825,6.92368704028755,8.77874611822086e-16,7.17662495164555e-12
"ENSMUSG00000000056.7","Narf",213,245,225,296,430,842,3.99389519495516,6.43903056507144,1.67767654967879e-15,9.14333719574942e-12
"ENSMUSG00000000058.6","Cav2",36,22,0,1,15,64,5.63522181226933,4.66549551117038,1.04200719869644e-13,4.25920442467172e-10
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,3880,7122,19700.999,6.45747279728771,5.78172937334026,3.26501875265889e-13,1.048995559751e-09
"ENSMUSG00000000085.16","Scmh1",104,195,92,144.999,307,814.001,5.26458835474055,4.57803765415401,3.84952498991194e-13,1.048995559751e-09
"ENSMUSG00000000088.7","Cox5a",46,40,39,52,113,252,4.60615723082287,10.2592675145336,8.84452325081878e-13,2.06582793072696e-09
"ENSMUSG00000000093.6","Tbx2",10,5,0,0,5,6,4.45646894235264,5.53961738144604,1.05464126653537e-12,2.15542308848165e-09
"ENSMUSG00000000120.6","Ngfr",8,1,0,16,3,0,5.46396095597763,5.36140188158493,4.4681990619009e-12,8.11722829578663e-09
"ENSMUSG00000000126.11","Wnt9a",8,1,8,0,7,0,-9.57809503576003,3.22506263935157,1.54024063956196e-11,2.5182934456838e-08
"ENSMUSG00000000127.15","Fer",44,72,5,44,102.999,357,4.23359004630217,7.4081351401707,3.63688086236145e-11,5.40572746360089e-08
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,307.001,738,1534,5.00641183562829,5.23352466209527,1.09232554595174e-10,1.48829355635924e-07
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,977.001,1333.999,5645,-10.7794043373724,4.40569722991523,1.87211753524429e-10,2.35454782317263e-07
