"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000000001.4","Gnai3",183,376,186,807,1462,278,3.24819184526618,5.10836106283388,1.53188330456018e-11,2.3777892653383e-07
"ENSMUSG00000000028.15","Cdc45",0,2,1,24,2,10,-4.12447234334621,3.85959325499805,1.26405580623302e-09,9.8103371121745e-06
"ENSMUSG00000000056.7","Narf",213,245,225,864,1063,325,2.40883143527216,8.2674722933903,3.8430603386121e-08,0.00019883994191979
"ENSMUSG00000000058.6","Cav2",36,22,0,74,77,0,-9.87127738249273,3.26610516331255,7.91554789330827e-08,0.000307162835999827
"ENSMUSG00000000078.7","Klf6",1963,3143,1803,5420.999,10717,3512,-2.89901709503651,10.4731369556976,1.53067722140773e-07,0.000475183436613815
"ENSMUSG00000000085.16","Scmh1",104,195,92,491.001,754,217.999,1.64125207612333,5.28793300370152,2.66069894282099e-06,0.0068832281650779
"ENSMUSG00000000088.7","Cox5a",46,40,39,123.001,287,106,3.13318800584384,3.22644610285298,2.14621038295646e-05,0.0475906822346432
"ENSMUSG00000000093.6","Tbx2",10,5,0,6,19,0,1.98285697371223,5.42816133680461,5.72647307617448e-05,0.104620468015593
"ENSMUSG00000000120.6","Ngfr",8,1,0,0,0,0,3.95206623405003,3.44462987293419,6.06612686599883e-05,0.104620468015593
"ENSMUSG00000000126.11","Wnt9a",8,1,8,0,0,0,2.5970071745006,3.87659372320607,8.36932616562817e-05,0.126904946511211
"ENSMUSG00000000127.15","Fer",44,72,5,216,358,80,-8.5869237165508,1.98704024841309,8.99339267892875e-05,0.126904946511211
"ENSMUSG00000000131.15","Xpo6",287.999,424,256,936,1718.999,472.999,2.42849480843228,5.54768550842272,0.000117468470967338,0.151945467196252
"ENSMUSG00000000134.17","Tfe3",623.001,1120,434.999,3034.999,6130,1348.001,-2.00387569873166,4.26588833066194,0.000132592600351125,0.158315564819243
"ENSMUSG00000000142.15","Axin2",0,1,0,16,14,1,-6.59435474305069,7.74813419480355,0.000185491961763258,0.205657587892093
"ENSMUSG00000000148.17","Brat1",145,178.001,103,487,895,209,-1.01731720647016,9.16097022008369,0.000202661268044967,0.209713880172932
"ENSMUSG00000000149.10","Gna12",1415,1829,951,4126,8626,1854,-0.971792025355403,9.85991520129472,0.000219438521797531,0.212882795958829
"ENSMUSG00000000154.16","Slc22a18",0,4,0,0,9,4,3.04888214182198,3.44754753089151,0.000263059154925871,0.240188482515257
"ENSMUSG00000000157.16","Itgb2l",9,11,6,144,92,81,-0.913031546416495,10.3370946134407,0.000337973367407243,0.288534639036906
"ENSMUSG00000000159.16","Igsf5",0,3,10,0,1,0,-0.904393927278557,10.6618814857628,0.000371851865420832,0.288534639036906
"ENSMUSG00000000167.14","Pih1d2",10,5,0,0,0,0,1.31451176660468,4.9505794649207,0.000394728742939816,0.288534639036906
"ENSMUSG00000000168.9","Dlat",97,91,69,251,395,102,-0.890597253813752,12.1263528686924,0.000404331010815752,0.288534639036906
"ENSMUSG00000000171.5","Sdhd",30,114,71,234,398,85,0.858953351493423,7.31047945673072,0.000408952587218911,0.288534639036906
