"","geneid_symbol","PVN_14A1","PVN_14A2","PVN_14A3","PVN_14L1","PVN_14L2_b1","PVN_14L3_b1","PVN_14L4","PVN_14L5","PVN_14L6","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","PVN_naive1","PVN_naive2","PVN_naive3"
"ENSMUSG00000000001.4","Gnai3",64.029881,84.281454,56.646581,46.317612,43.541014,57.994949,31.799117,66.053548,120.196414,58.114569,61.545726,49.663419,59.543174,56.283884,42.432207,43.157539,61.12053,51.360168
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0,1.569591,0,0,0,0.606049,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",9.86904,0,6.144209,7.408352,0.441626,0,2.615691,0,28.248959,28.417208,5.115629,1.683133,4.214406,0.15097,2.998583,0,0.639869,0.5448
"ENSMUSG00000000037.17","Scml2",2.656596,0,0,0.611046,0,0,0.3496,0,0.550739,0,0.545334,0,0,0,0,0,0,0
"ENSMUSG00000000049.11","Apoh",0,0,6.948574,0,0,0,1.124384,0,0,0,6.338482,0,5.44121,0,0,0,0,0
"ENSMUSG00000000056.7","Narf",30.097874,32.157521,31.754187,36.578145,83.913474,43.143208,47.939023,28.972963,24.930885,35.455538,35.63372,24.591551,46.644183,29.948715,36.283395,36.622382,29.115047,45.389329
"ENSMUSG00000000058.6","Cav2",5.375146,0,2.243516,4.165661,6.107031,8.409067,5.940155,7.9753,1.05683,0.198508,3.047457,3.109785,6.587921,3.5762,0,10.272455,4.317851,0
"ENSMUSG00000000078.7","Klf6",308.385392,635.644194,449.553836,444.218434,383.054132,541.366923,170.796632,529.315316,297.808467,486.019819,618.14063,705.449818,329.798857,384.552663,492.65719,351.812899,445.241163,379.04358
"ENSMUSG00000000085.16","Scmh1",79.551939,61.247625,29.445208,58.049248,144.072448,20.113971,63.528954,38.945343,22.372345,76.63299,49.330806,41.015388,50.729602,46.915539,114.180245,66.158014,67.709043,69.333154
"ENSMUSG00000000088.7","Cox5a",52.521544,56.489212,76.512586,46.128735,18.83298,68.364299,15.663745,55.620792,131.197705,46.592543,65.471455,72.540475,55.514707,66.068131,96.953117,30.766633,35.658527,62.593031
"ENSMUSG00000000093.6","Tbx2",0.328956,0,0.20268,0.293678,0,0,0.661519,0.738394,0,0,0.445882,0.214905,0.396042,0.654417,0,2.106794,0.726865,0
"ENSMUSG00000000094.12","Tbx4",1.497161,0,1.758791,0.364461,0,0,0,3.663081,0.323404,0,0.553367,0,0,0,0,0,0.180292,0
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",0,0,0.427673,0.774802,0,0.074339,0,0,0,2.477561,0.282328,0,0,0,0,1.779282,0.15339,0
"ENSMUSG00000000125.5","Wnt3",1.566956,0,2.411191,1.223869,0,0,5.508473,0,0.15512,0,1.168017,0,0,0,0.487274,0,0.173003,0
"ENSMUSG00000000126.11","Wnt9a",0.843245,0,1.112739,0.644807,0,0,0.362939,0,0,0,0.685741,0,0,0,0,1.852638,0.159652,2.169492
"ENSMUSG00000000127.15","Fer",7.083978,4.13207,15.53205,8.717881,23.79273,24.677874,12.296301,14.603714,6.465861,8.124422,11.645135,15.835549,17.581755,15.226017,15.772588,12.948798,13.091734,1.537834
"ENSMUSG00000000131.15","Xpo6",43.631586,147.133304,39.211724,54.430788,40.193896,114.868334,37.60668,57.478659,64.68987,58.354803,61.367931,62.150251,57.903873,63.114249,56.630342,172.767903,48.947677,147.49984
"ENSMUSG00000000134.17","Tfe3",217.130745,214.066661,145.985202,149.306426,244.776763,143.274609,179.007973,169.333431,101.664386,167.504475,143.12426,247.902623,287.985723,241.53826,229.136667,180.939843,199.534505,120.016571
"ENSMUSG00000000142.15","Axin2",3.942555,0,0.85608,0,0,0,3.816583,0,4.783472,0,1.370669,0,0.892308,0.88882,0.252039,0,0.268754,0
"ENSMUSG00000000148.17","Brat1",20.07511,23.879586,19.560074,20.898562,4.393117,33.059843,17.002048,27.94811,15.583256,26.982831,37.976012,32.879211,34.486312,33.939485,30.400205,36.440105,27.979827,27.79891
"ENSMUSG00000000149.10","Gna12",208.191648,219.877021,267.612471,226.001203,238.085518,234.397225,157.428522,228.82708,103.340936,191.772634,251.99555,270.64009,289.97674,316.327036,269.53131,353.371206,283.153813,250.064079
"ENSMUSG00000000154.16","Slc22a18",0,0,1.737968,0.423293,0,0,8.304705,0,0,0,0,0.42171,0,0.790681,1.561252,0,1.491311,0
"ENSMUSG00000000157.16","Itgb2l",64.453686,10.973772,7.043468,16.194231,6.926266,26.853464,21.424535,111.485541,469.397541,190.240754,92.435147,34.17574,21.6871,5.119371,24.417542,2.732981,2.401738,2.029186
