"","geneid_symbol","CTX_14A2","CTX_14A4","CTX_14A5","CTX_14L1","CTX_14L2","CTX_14L3","CTX_3A2","CTX_3A3","CTX_3A4","CTX_3L2","CTX_3L3","CTX_Naive1","CTX_Naive2","CTX_Naive3"
"ENSMUSG00000000001.4","Gnai3",49.956413,67.635664,49.517456,50.708241,75.253865,47.730067,70.361011,64.59602,51.296243,65.040788,56.300536,46.878164,52.853138,56.748387
"ENSMUSG00000000003.15","Pbsn",0,0,0,0,0,0.621062,0,0,0,0,0,0,0,0
"ENSMUSG00000000028.15","Cdc45",2.425467,2.063111,3.341774,0.286916,0.873484,1.497667,4.523097,1.799069,4.381876,1.0809,1.09123,1.142449,1.958575,1.349884
"ENSMUSG00000000037.17","Scml2",0,0,0,0,0.40733,0.138865,0.598844,0.169903,0.162848,0,0,0,0,0
"ENSMUSG00000000049.11","Apoh",0,0,0,0,0,0,0,0,0,0,0.605534,2.869242,0,0
"ENSMUSG00000000056.7","Narf",35.918516,28.758601,23.581509,25.140387,20.527603,33.414532,28.575684,38.301743,34.517241,34.72642,21.931147,33.35167,37.45307,22.039399
"ENSMUSG00000000058.6","Cav2",2.264002,0.913034,2.101835,3.225914,8.596012,3.543743,2.548089,2.140607,1.721241,2.634325,4.309142,2.41386,3.299575,6.190091
"ENSMUSG00000000078.7","Klf6",523.633847,390.899383,424.677074,271.809164,481.081819,281.55227,652.635031,613.015891,302.196369,311.646887,286.162524,402.978384,344.428882,367.732556
"ENSMUSG00000000085.16","Scmh1",34.849546,43.50523,41.997232,46.859169,63.50648,53.500247,50.580589,50.465014,55.489118,55.205666,35.67335,39.882101,33.754632,37.935255
"ENSMUSG00000000088.7","Cox5a",71.854057,46.506472,63.988779,63.529511,74.747754,50.682725,79.042654,60.370189,71.608637,66.29844,41.09151,70.882004,71.60249,44.191888
"ENSMUSG00000000093.6","Tbx2",0.612299,0.596415,0.77843,0.064333,0.796738,2.496384,0.880957,0.68379,0.955478,0.771024,2.399543,2.59952,1.654168,0.518102
"ENSMUSG00000000094.12","Tbx4",0,0,0.429064,0,0,0,0.077879,0.169537,0.263464,0.127406,0.618968,0,0,0.320971
"ENSMUSG00000000103.12","Zfy2",0,0,0,0,0,0,0,0.178721,0,0,0,0,0,0
"ENSMUSG00000000120.6","Ngfr",0,0,0.45631,0,0,0.13861,0.066364,0,0.280081,0,0,0,0,0
"ENSMUSG00000000125.5","Wnt3",0,0.141993,0.617577,0,0,0.781327,0,0.244045,0.126393,0.305682,0,0.386788,0,1.232219
"ENSMUSG00000000126.11","Wnt9a",0,0.087345,0.189974,0,0,0.576993,0,0,0.174924,0,0,0,0,1.42102
"ENSMUSG00000000127.15","Fer",14.074348,16.516947,14.560308,14.668318,16.719788,14.657344,18.430287,14.187,14.253292,17.113509,12.20407,14.459082,12.907632,11.533511
"ENSMUSG00000000131.15","Xpo6",52.904679,48.491415,48.64023,50.597233,39.958429,44.240065,61.839998,52.650335,53.785831,58.232979,49.835918,59.70326,83.455738,45.032474
"ENSMUSG00000000134.17","Tfe3",179.996654,276.294134,183.944047,160.459718,195.494818,251.842984,305.827082,250.917468,231.53793,312.594062,202.320767,179.725598,133.279919,168.819208
"ENSMUSG00000000142.15","Axin2",0.047039,0.474192,0.502956,0,0,0.726726,0.230967,0.126227,0.719026,0.094788,0.533345,0,0,0.477309
"ENSMUSG00000000148.17","Brat1",34.491589,20.811165,28.048086,35.859458,27.281469,28.509183,32.536715,29.334246,34.305191,34.667662,23.011513,31.43036,41.518366,23.299729
"ENSMUSG00000000149.10","Gna12",340.112556,266.378627,313.813616,311.327276,275.699712,254.043447,247.469561,255.640389,288.955327,302.815596,281.817074,315.4415,313.211399,225.054924
"ENSMUSG00000000154.16","Slc22a18",0.316852,0.343019,0.248014,2.727403,0,0,1.273801,0.586411,0,0.514544,0,0.834941,0.764551,0
"ENSMUSG00000000157.16","Itgb2l",5.647009,1.408602,12.956168,0.185596,1.142285,1.986146,0.539992,1.168052,0.358103,1.009976,0.523791,1.706614,2.886858,2.088578
"ENSMUSG00000000159.16","Igsf5",1.786803,0,0.419829,0,0,0.645714,0,0,1.659387,0,1.857343,0,0,0
"ENSMUSG00000000167.14","Pih1d2",0.145273,1.820439,0.908824,0,2.08275,1.96577,0.891128,1.5585,0.699702,0.403181,1.039142,1.651842,2.874232,0
"ENSMUSG00000000168.9","Dlat",12.46551,12.00023,12.975668,29.725302,23.420631,10.853542,17.126426,18.420941,14.695636,15.39436,9.837543,20.453457,20.150589,8.80264
"ENSMUSG00000000171.5","Sdhd",45.99443,45.715238,41.456494,96.831251,36.369115,52.679372,54.098283,51.660443,53.593449,54.986095,46.224513,63.125738,85.012424,53.951146
"ENSMUSG00000000182.9","Fgf23",0,0,0.547557,0,0,0,0,0,0,0,0,1.373378,0,0
"ENSMUSG00000000183.6","Fgf6",0,0.122359,1.198181,0,0,0.505956,0.048524,0.157937,0.20416,0,0.308266,0.375005,0.373282,0.399095
"ENSMUSG00000000184.12","Ccnd2",1.664202,1.015073,2.075722,0.502115,0,0.652041,1.307649,0.760838,0.466493,1.479598,0.670898,0.272886,0.3643,2.135748
"ENSMUSG00000000194.13","Gpr107",39.517201,33.729323,31.245041,49.826869,31.201047,32.922959,62.52853,58.523132,59.648385,48.729551,40.843088,48.123031,55.613858,29.542986
"ENSMUSG00000000197.8","Nalcn",0,0.14672,1.524557,0,0.395989,0.90602,0,0.555665,0.539502,0,0.791791,0,0,0
"ENSMUSG00000000202.9","Btbd17",1.615446,0.875205,0.388104,2.048639,0,0.957189,1.067109,0.612393,0.477678,1.410615,0.612408,0,0.478993,1.156824
"ENSMUSG00000000204.16","Slfn4",0.711024,0.415491,6.233416,0.408197,0,0.128524,0.344618,0.311881,0.33884,0.625609,0.489045,0,0,0
"ENSMUSG00000000214.11","Th",0,0,0.813834,0,0,0,0,0,0.887091,0,0.406191,0,0,0.539398
"ENSMUSG00000000215.11","Ins2",0,0,2.045654,9.730554,0,1.101779,0,0,0.498851,1.734402,0,0,0,0
"ENSMUSG00000000216.8","Scnn1g",0,0,0.424176,0,0,0,0,0,0.195341,0,0,0,0,0
"ENSMUSG00000000223.13","Drp2",0.115572,0.231447,1.234216,0,0.39525,0.237988,0,0.157691,0.275044,0.042101,0.280981,0,0,0.424437
