group,symbol
BS_2_3up_GO,Naa35
BS_2_3up_GO,Apoa2
BS_2_3up_GO,Naa30
BS_2_3up_GO,Extl2
BS_2_3up_GO,Ptger4
BS_2_3up_GO,Xylt2
BS_2_3up_GO,Ugdh
BS_2_3up_GO,Rrn3
BS_2_3up_GO,Snrpc
BS_2_3up_GO,Fastkd2
BS_2_3up_GO,Patl2
BS_2_3up_GO,Ncbp1
BS_2_3up_GO,Ddx54
BS_2_3up_GO,Nob1
BS_2_3up_GO,Gtf3a
BS_2_3up_GO,Hsp90ab1
BS_2_3up_GO,Imp4
BS_2_3up_GO,Psip1
BS_2_3up_GO,Pcbp4
BS_2_3up_GO,Cwf19l2
BS_2_3up_GO,Zfp64
BS_2_3up_GO,Khdrbs1
BS_2_3up_GO,Gpkow
BS_2_3up_GO,Rpl19
BS_2_3up_GO,Rps26
BS_2_3up_GO,Ftsj1
BS_2_3up_GO,Rwdd1
BS_2_3up_GO,Drg2
BS_2_3up_GO,Epb41l4a
BS_2_3up_GO,Myl2
BS_2_3up_GO,Carmil1
BS_2_3up_GO,Itgb5
BS_2_3up_GO,Arhgap28
BS_2_3up_GO,Neb
BS_2_3up_GO,Vipas39
BS_2_3up_GO,Plod3
BS_2_3up_GO,P4ha2
BS_2_3up_GO,Faf1
BS_2_3up_GO,Unc5b
BS_2_3up_GO,Atf3
BS_2_3up_GO,Ppp2r1b
BS_2_3up_GO,Eif1
BS_2_3up_GO,Eif4ebp2
BS_2_3up_GO,Eif3e
BS_2_3up_GO,Gfpt2
BS_2_3up_GO,Tlr2
BS_2_3up_GO,Eps8
BS_2_3up_GO,Rasa1
BS_2_3up_GO,Slf1
BS_2_3up_GO,Rfx2
BS_2_3up_GO,Rab38
BS_2_3up_GO,Serpine2
BS_2_3up_GO,Nedd9
BS_2_3up_GO,Gart
BS_2_3up_GO,Kynu
BS_2_3up_GO,Mri1
BS_2_3up_GO,Dnajc1
BS_2_3up_GO,Caprin1
BS_2_3up_GO,Tarsl2
BS_2_3up_GO,Chdh
BS_2_3up_GO,Acat2
BS_2_3up_GO,Errfi1
BS_2_3up_GO,Eng
BS_2_3up_GO,Alg14
BS_2_3up_GO,St6galnac5
BS_2_3up_GO,Rem2
BS_2_3up_GO,Rrad
BS_2_3up_GO,Birc6
BS_2_3up_GO,Frs2
BS_2_3up_GO,Sema3f
BS_2_3up_GO,Rae1
BS_2_3up_GO,Dctn6
BS_2_3up_GO,Stard9
BS_2_3up_GO,Kif11
BS_2_3up_GO,Stag2
BS_2_3up_GO,Dusp27
BS_2_3up_GO,Cdc25b
BS_2_3up_GO,Dusp3
BS_2_3up_GO,Fbxw11
BS_2_3up_GO,Ptprd
BS_2_3up_GO,Mthfd2
BS_2_3up_GO,Dnah11
BS_2_3up_GO,Rsph9
BS_2_3up_GO,Tbx6
BS_2_3up_GO,Atg12
BS_2_3up_GO,Spag17
BS_2_3up_GO,Hgs
BS_2_3down_GO,Vps13d
BS_2_3down_GO,Pacs1
BS_2_3down_GO,Ift20
BS_2_3down_GO,Lage3
BS_2_3down_GO,Zcchc4
BS_2_3down_GO,C1d
BS_2_3down_GO,Trmt1
BS_2_3down_GO,Dus3l
BS_2_3down_GO,Naf1
BS_2_3down_GO,Mtrex
BS_2_3down_GO,Elac1
BS_2_3down_GO,Mmp19
BS_2_3down_GO,Adam15
BS_2_3down_GO,Mmp14
BS_2_3down_GO,Dlc1
BS_2_3down_GO,Ung
BS_2_3down_GO,Mcm3ap
BS_2_3down_GO,Rapgef3
BS_2_3down_GO,Ddx60
BS_2_3down_GO,Nploc4
BS_2_3down_GO,Calr
BS_2_3down_GO,Trpm2
BS_2_3down_GO,Efnb2
BS_2_3down_GO,Map3k11
BS_2_3down_GO,Atp5g1
BS_2_3down_GO,Xpo6
BS_2_3down_GO,Cd40
BS_2_3down_GO,Rrm2b
BS_2_3down_GO,Zfp385a
BS_2_3down_GO,Slc39a13
BS_2_3down_GO,Glipr2
BS_2_3down_GO,Alox12
BS_2_3down_GO,Pdcd5
BS_2_3down_GO,Dnm1l
BS_2_3down_GO,Ppa2
BS_2_3down_GO,Washc1
BS_2_3down_GO,Trappc10
BS_2_3down_GO,Gosr2
BS_2_3down_GO,Tmem79
BS_2_3down_GO,Cdh23
BS_2_3down_GO,Jag2
BS_2_3down_GO,Iqgap2
BS_2_3down_GO,Pam
BS_2_3down_GO,Dlat
BS_2_3down_GO,Dlst
BS_2_3down_GO,Atp6ap1
BS_2_3down_GO,Pex13
BS_2_3down_GO,Aph1b
BS_2_3down_GO,Tbx2
BS_2_3down_GO,Gzf1
BS_2_3down_GO,Ehhadh
BS_2_3down_GO,Lsm11
BS_2_3down_GO,Aplp1
BS_2_3down_GO,Zpr1
BS_2_3down_GO,Dbf4
BS_2_3down_GO,Rps25
BS_2_3down_GO,Aatk
BS_2_3down_GO,Rasgrp1
BS_2_3down_GO,Tbc1d8
BS_2_3down_GO,Klf6
BS_2_3down_GO,Ctse
BS_2_3down_GO,Hdgfl2
BS_2_3down_GO,Kif2c
BS_2_3down_GO,Mid1ip1
BS_2_3down_GO,Ska2
BS_2_3down_GO,Snrpd1
BS_2_3down_GO,Tfg
BS_2_3down_GO,Tex261
BS_2_3down_GO,Yju2
BS_2_co_up_GO,Ext2
BS_2_co_up_GO,Zdhhc12
BS_2_co_up_GO,Ap2b1
BS_2_co_down_GO,Comt
BS_2_co_down_GO,Spi1
BS_2_co_down_GO,Pih1d1
BS_2_co_down_GO,Mettl17
BS_2_co_down_GO,Ctnnb1
BS_2_co_down_GO,Asz1
BS_2_co_down_GO,Pax5
BS_2_co_down_GO,Ppm1d
BS_2_co_down_GO,Smad4
BS_2_co_down_GO,Sox9
BS_2_co_down_GO,Itfg2
BS_2_co_down_GO,Folr1
BS_2_co_down_GO,Top2b
BS_2_co_down_GO,Pik3c2b
BS_2_co_down_GO,Sema4f
BS_2_co_down_GO,Hpn
BS_2_co_down_GO,Chrd
BS_2_co_down_GO,Snapin
BS_2_co_down_GO,Tulp3
BS_2_co_down_GO,Gdi1
BS_2_co_down_GO,Pam16
BS_2_co_down_GO,Endog
BS_2_co_down_GO,Med31
