from_symbol,to_symbol
P2ry12,Gnai1
P2ry12,Gnai2
P2ry12,Gnai3
Gnai1,Nos3
Gnai1,Adcy4
Gnai1,Adcy3
Gnai1,Adcy6
Gnai1,Adcy7
Gnai1,Adcy8
Gnai1,Adcy9
Gnai1,Adcy2
Gnai1,Adcy5
Gnai1,Adcy10
Gnai1,Adcy1
Gnai1,Plcb1
Gnai1,Plcb2
Gnai1,Plcb3
Gnai1,Plcb4
Gnai1,Pik3ca
Gnai1,Pik3cd
Gnai1,Pik3cg
Gnai1,Pik3cb
Gnai1,Pla2g4a
Gnai1,Pla2g4b
Gnai1,Pla2g4c
Gnai1,Pla2g4f
Gnai1,Pla2g4e
Gnai1,Pla2g4d
Gnai1,Mapk1
Gnai1,Mapk3
Gnai1,Hras
Gnai1,Kras
Gnai1,Nras
Gnai1,Src
Gnai1,Pik3r1
Gnai1,Pik3r2
Gnai1,Pik3r3
Gnai1,Mapk11
Gnai1,Mapk13
Gnai1,Mapk14
Gnai1,Mapk12
Gnai1,Mapk10
Gnai1,Mapk8
Gnai1,Mapk9
Gnai1,Gm5741
Gnai1,Gng12
Gnai1,Cacna1a
Gnai1,Cacna1b
Gnai1,Cacna1c
Gnai1,Cacna1d
Gnai1,Cacna1s
Gnai1,Cacna1f
Gnai1,Gnb1
Gnai1,Gnb2
Gnai1,Gnb3
Gnai1,Gnb4
Gnai1,Gnb5
Gnai1,Gngt1
Gnai1,Gng10
Gnai1,Gng2
Gnai1,Gng3
Gnai1,Gng4
Gnai1,Gng5
Gnai1,Gng7
Gnai1,Gng8
Gnai1,Gngt2
Gnai1,Gng13
Gnai1,Gng11
Gnai1,Rapgef3
Gnai1,Rapgef4
Gnai1,Pik3r6
Gnai1,Pik3r5
Gnai1,Prkce
Gnai1,Il12a
Gnai1,Il12b
Gnai1,Fgr
Gnai1,Hck
Gnai1,Lyn
Gnai1,Kcnj3
Gnai1,Mmp14
Gnai1,Mmp15
Gnai1,Mmp16
Gnai1,Mmp24
Gnai1,Mmp17
Gnai1,Mmp25
Gnai1,Kcnj5
Gnai1,Kcnj6
Gnai1,Kcnj9
Gnai1,Scn1a
Gnai2,Nos3
Gnai2,Adcy4
Gnai2,Adcy3
Gnai2,Adcy6
Gnai2,Adcy7
Gnai2,Adcy8
Gnai2,Adcy9
Gnai2,Adcy2
Gnai2,Adcy5
Gnai2,Adcy10
Gnai2,Adcy1
Gnai2,Plcb1
Gnai2,Plcb2
Gnai2,Plcb3
Gnai2,Plcb4
Gnai2,Pik3ca
Gnai2,Pik3cd
Gnai2,Pik3cg
Gnai2,Pik3cb
Gnai2,Pla2g4a
Gnai2,Pla2g4b
Gnai2,Pla2g4c
Gnai2,Pla2g4f
Gnai2,Pla2g4e
