"","from","to","type","subtype"
"1","mmu:11674","mmu:14120","ECrel","compound"
"2","mmu:11674","mmu:14121","ECrel","compound"
"3","mmu:11674","mmu:18641","ECrel","compound"
"4","mmu:11674","mmu:18642","ECrel","compound"
"5","mmu:11674","mmu:56421","ECrel","compound"
"6","mmu:11674","mmu:21991","ECrel","compound"
"7","mmu:11674","mmu:115487111","ECrel","compound"
"8","mmu:11674","mmu:14433","ECrel","compound"
"9","mmu:11674","mmu:14447","ECrel","compound"
"10","mmu:11676","mmu:14120","ECrel","compound"
"11","mmu:11676","mmu:14121","ECrel","compound"
"12","mmu:11676","mmu:18641","ECrel","compound"
"13","mmu:11676","mmu:18642","ECrel","compound"
"14","mmu:11676","mmu:56421","ECrel","compound"
"15","mmu:11676","mmu:21991","ECrel","compound"
"16","mmu:11676","mmu:115487111","ECrel","compound"
"17","mmu:11676","mmu:14433","ECrel","compound"
"18","mmu:11676","mmu:14447","ECrel","compound"
"19","mmu:230163","mmu:14120","ECrel","compound"
"20","mmu:230163","mmu:14121","ECrel","compound"
"21","mmu:230163","mmu:18641","ECrel","compound"
"22","mmu:230163","mmu:18642","ECrel","compound"
"23","mmu:230163","mmu:56421","ECrel","compound"
"24","mmu:230163","mmu:21991","ECrel","compound"
"25","mmu:230163","mmu:115487111","ECrel","compound"
"26","mmu:230163","mmu:14433","ECrel","compound"
"27","mmu:230163","mmu:14447","ECrel","compound"
"28","mmu:353204","mmu:14120","ECrel","compound"
"29","mmu:353204","mmu:14121","ECrel","compound"
"30","mmu:353204","mmu:18641","ECrel","compound"
"31","mmu:353204","mmu:18642","ECrel","compound"
"32","mmu:353204","mmu:56421","ECrel","compound"
"33","mmu:353204","mmu:21991","ECrel","compound"
"34","mmu:353204","mmu:115487111","ECrel","compound"
"35","mmu:353204","mmu:14433","ECrel","compound"
"36","mmu:353204","mmu:14447","ECrel","compound"
"37","mmu:79459","mmu:14120","ECrel","compound"
"38","mmu:79459","mmu:14121","ECrel","compound"
"39","mmu:79459","mmu:18641","ECrel","compound"
"40","mmu:79459","mmu:18642","ECrel","compound"
"41","mmu:79459","mmu:56421","ECrel","compound"
"42","mmu:79459","mmu:21991","ECrel","compound"
"43","mmu:79459","mmu:115487111","ECrel","compound"
"44","mmu:79459","mmu:14433","ECrel","compound"
"45","mmu:79459","mmu:14447","ECrel","compound"
"46","mmu:110695","mmu:11522","ECrel","compound"
"47","mmu:110695","mmu:11529","ECrel","compound"
"48","mmu:110695","mmu:11532","ECrel","compound"
"49","mmu:110695","mmu:26876","ECrel","compound"
"50","mmu:110695","mmu:58810","ECrel","compound"
"51","mmu:11669","mmu:11522","ECrel","compound"
"52","mmu:11669","mmu:11529","ECrel","compound"
"53","mmu:11669","mmu:11532","ECrel","compound"
"54","mmu:11669","mmu:26876","ECrel","compound"
"55","mmu:11669","mmu:58810","ECrel","compound"
"56","mmu:11671","mmu:11522","ECrel","compound"
"57","mmu:11671","mmu:11529","ECrel","compound"
"58","mmu:11671","mmu:11532","ECrel","compound"
"59","mmu:11671","mmu:26876","ECrel","compound"
"60","mmu:11671","mmu:58810","ECrel","compound"
"61","mmu:56752","mmu:11522","ECrel","compound"
"62","mmu:56752","mmu:11529","ECrel","compound"
"63","mmu:56752","mmu:11532","ECrel","compound"
"64","mmu:56752","mmu:26876","ECrel","compound"
"65","mmu:56752","mmu:58810","ECrel","compound"
"66","mmu:72535","mmu:11522","ECrel","compound"
"67","mmu:72535","mmu:11529","ECrel","compound"
"68","mmu:72535","mmu:11532","ECrel","compound"
"69","mmu:72535","mmu:26876","ECrel","compound"
"70","mmu:72535","mmu:58810","ECrel","compound"
"71","mmu:11670","mmu:11522","ECrel","compound"
"72","mmu:11670","mmu:11529","ECrel","compound"
"73","mmu:11670","mmu:11532","ECrel","compound"
"74","mmu:11670","mmu:26876","ECrel","compound"
"75","mmu:11670","mmu:58810","ECrel","compound"
"76","mmu:621603","mmu:11522","ECrel","compound"
"77","mmu:621603","mmu:11529","ECrel","compound"
"78","mmu:621603","mmu:11532","ECrel","compound"
"79","mmu:621603","mmu:26876","ECrel","compound"
"80","mmu:621603","mmu:58810","ECrel","compound"
"81","mmu:67689","mmu:11522","ECrel","compound"
"82","mmu:67689","mmu:11529","ECrel","compound"
"83","mmu:67689","mmu:11532","ECrel","compound"
"84","mmu:67689","mmu:26876","ECrel","compound"
"85","mmu:67689","mmu:58810","ECrel","compound"
"86","mmu:73458","mmu:11522","ECrel","compound"
"87","mmu:73458","mmu:11529","ECrel","compound"
"88","mmu:73458","mmu:11532","ECrel","compound"
"89","mmu:73458","mmu:26876","ECrel","compound"
"90","mmu:73458","mmu:58810","ECrel","compound"
"91","mmu:18597","mmu:235339","ECrel","compound"
"92","mmu:18597","mmu:13382","ECrel","compound"
"93","mmu:18597","mmu:18746","ECrel","compound"
"94","mmu:18597","mmu:18770","ECrel","compound"
"95","mmu:18597","mmu:106557","ECrel","compound"
"96","mmu:18597","mmu:16828","ECrel","compound"
"97","mmu:18597","mmu:16832","ECrel","compound"
"98","mmu:18597","mmu:16833","ECrel","compound"
"99","mmu:18598","mmu:235339","ECrel","compound"
"100","mmu:18598","mmu:13382","ECrel","compound"
"101","mmu:18598","mmu:18746","ECrel","compound"
"102","mmu:18598","mmu:18770","ECrel","compound"
"103","mmu:18598","mmu:106557","ECrel","compound"
"104","mmu:18598","mmu:16828","ECrel","compound"
"105","mmu:18598","mmu:16832","ECrel","compound"
"106","mmu:18598","mmu:16833","ECrel","compound"
"107","mmu:68263","mmu:235339","ECrel","compound"
"108","mmu:68263","mmu:13382","ECrel","compound"
"109","mmu:68263","mmu:18746","ECrel","compound"
"110","mmu:68263","mmu:18770","ECrel","compound"
"111","mmu:68263","mmu:106557","ECrel","compound"
"112","mmu:68263","mmu:16828","ECrel","compound"
"113","mmu:68263","mmu:16832","ECrel","compound"
"114","mmu:68263","mmu:16833","ECrel","compound"
"115","mmu:235339","mmu:13382","ECrel","compound"
"116","mmu:106557","mmu:18746","ECrel","compound"
"117","mmu:106557","mmu:18770","ECrel","compound"
"118","mmu:16828","mmu:18746","ECrel","compound"
"119","mmu:16828","mmu:18770","ECrel","compound"
"120","mmu:16832","mmu:18746","ECrel","compound"
"121","mmu:16832","mmu:18770","ECrel","compound"
"122","mmu:16833","mmu:18746","ECrel","compound"
"123","mmu:16833","mmu:18770","ECrel","compound"
"124","mmu:18746","mmu:13806","ECrel","compound"
"125","mmu:18746","mmu:13807","ECrel","compound"
"126","mmu:18746","mmu:13808","ECrel","compound"
"127","mmu:18746","mmu:226265","ECrel","compound"
"128","mmu:18746","mmu:433182","ECrel","compound"
"129","mmu:18770","mmu:13806","ECrel","compound"
"130","mmu:18770","mmu:13807","ECrel","compound"
"131","mmu:18770","mmu:13808","ECrel","compound"
"132","mmu:18770","mmu:226265","ECrel","compound"
"133","mmu:18770","mmu:433182","ECrel","compound"
"134","mmu:13806","mmu:12183","ECrel","compound"
"135","mmu:13806","mmu:18648","ECrel","compound"
"136","mmu:13806","mmu:56012","ECrel","compound"
"137","mmu:13807","mmu:12183","ECrel","compound"
"138","mmu:13807","mmu:18648","ECrel","compound"
"139","mmu:13807","mmu:56012","ECrel","compound"
"140","mmu:13808","mmu:12183","ECrel","compound"
"141","mmu:13808","mmu:18648","ECrel","compound"
"142","mmu:13808","mmu:56012","ECrel","compound"
"143","mmu:226265","mmu:12183","ECrel","compound"
"144","mmu:226265","mmu:18648","ECrel","compound"
"145","mmu:226265","mmu:56012","ECrel","compound"
"146","mmu:433182","mmu:12183","ECrel","compound"
"147","mmu:433182","mmu:18648","ECrel","compound"
"148","mmu:433182","mmu:56012","ECrel","compound"
"149","mmu:12183","mmu:18655","ECrel","compound"
"150","mmu:12183","mmu:18663","ECrel","compound"
"151","mmu:12183","mmu:12183","ECrel","compound"
"152","mmu:12183","mmu:18648","ECrel","compound"
"153","mmu:12183","mmu:56012","ECrel","compound"
"154","mmu:12183","mmu:17330","ECrel","compound"
"155","mmu:18648","mmu:18655","ECrel","compound"
"156","mmu:18648","mmu:18663","ECrel","compound"
"157","mmu:18648","mmu:17330","ECrel","compound"
"158","mmu:56012","mmu:18655","ECrel","compound"
"159","mmu:56012","mmu:18663","ECrel","compound"
"160","mmu:56012","mmu:17330","ECrel","compound"
"161","mmu:115487111","mmu:18655","ECrel","compound"
"162","mmu:115487111","mmu:18663","ECrel","compound"
"163","mmu:115487111","mmu:12183","ECrel","compound"
"164","mmu:14433","mmu:18655","ECrel","compound"
"165","mmu:14433","mmu:18663","ECrel","compound"
"166","mmu:14433","mmu:12183","ECrel","compound"
"167","mmu:14447","mmu:18655","ECrel","compound"
"168","mmu:14447","mmu:18663","ECrel","compound"
"169","mmu:14447","mmu:12183","ECrel","compound"
"170","mmu:21991","mmu:11674","ECrel","compound"
"171","mmu:21991","mmu:11676","ECrel","compound"
"172","mmu:21991","mmu:230163","ECrel","compound"
"173","mmu:21991","mmu:353204","ECrel","compound"
"174","mmu:21991","mmu:79459","ECrel","compound"
"175","mmu:21991","mmu:115487111","ECrel","compound"
"176","mmu:21991","mmu:14433","ECrel","compound"
"177","mmu:21991","mmu:14447","ECrel","compound"
"178","mmu:18641","mmu:14751","ECrel","compound"
"179","mmu:18642","mmu:14751","ECrel","compound"
"180","mmu:56421","mmu:14751","ECrel","compound"
"181","mmu:14120","mmu:14751","ECrel","compound"
"182","mmu:14121","mmu:14751","ECrel","compound"
"183","mmu:14751","mmu:103988","ECrel","compound"
"184","mmu:14751","mmu:15275","ECrel","compound"
"185","mmu:14751","mmu:15277","ECrel","compound"
"186","mmu:14751","mmu:212032","ECrel","compound"
"187","mmu:14751","mmu:216019","ECrel","compound"
"188","mmu:14751","mmu:14377","ECrel","compound"
"189","mmu:14751","mmu:14378","ECrel","compound"
"190","mmu:14751","mmu:68401","ECrel","compound"
"191","mmu:14751","mmu:66681","ECrel","compound"
"192","mmu:14751","mmu:72157","ECrel","compound"
"193","mmu:66681","mmu:14377","ECrel","compound"
"194","mmu:66681","mmu:14378","ECrel","compound"
"195","mmu:66681","mmu:68401","ECrel","compound"
"196","mmu:66681","mmu:15275","ECrel","compound"
"197","mmu:66681","mmu:15277","ECrel","compound"
"198","mmu:66681","mmu:212032","ECrel","compound"
"199","mmu:66681","mmu:216019","ECrel","compound"
"200","mmu:66681","mmu:103988","ECrel","compound"
"201","mmu:66681","mmu:14751","ECrel","compound"
"202","mmu:72157","mmu:14377","ECrel","compound"
"203","mmu:72157","mmu:14378","ECrel","compound"
"204","mmu:72157","mmu:68401","ECrel","compound"
"205","mmu:72157","mmu:15275","ECrel","compound"
"206","mmu:72157","mmu:15277","ECrel","compound"
"207","mmu:72157","mmu:212032","ECrel","compound"
"208","mmu:72157","mmu:216019","ECrel","compound"
"209","mmu:72157","mmu:103988","ECrel","compound"
"210","mmu:72157","mmu:14751","ECrel","compound"
"211","mmu:15275","mmu:319625","ECrel","compound"
"212","mmu:15275","mmu:14751","ECrel","compound"
"213","mmu:15277","mmu:319625","ECrel","compound"
"214","mmu:15277","mmu:14751","ECrel","compound"
"215","mmu:212032","mmu:319625","ECrel","compound"
"216","mmu:212032","mmu:14751","ECrel","compound"
"217","mmu:216019","mmu:319625","ECrel","compound"
"218","mmu:216019","mmu:14751","ECrel","compound"
"219","mmu:103988","mmu:319625","ECrel","compound"
"220","mmu:103988","mmu:14751","ECrel","compound"
"221","mmu:319625","mmu:15275","ECrel","compound"
"222","mmu:319625","mmu:15277","ECrel","compound"
"223","mmu:319625","mmu:212032","ECrel","compound"
"224","mmu:319625","mmu:216019","ECrel","compound"
"225","mmu:319625","mmu:103988","ECrel","compound"
"226","mmu:319625","mmu:14377","ECrel","compound"
"227","mmu:319625","mmu:14378","ECrel","compound"
"228","mmu:319625","mmu:68401","ECrel","compound"
"229","mmu:319625","mmu:72141","ECrel","compound"
"230","mmu:18655","mmu:12183","ECrel","compound"
"231","mmu:18663","mmu:12183","ECrel","compound"
"232","mmu:18534","mmu:13806","ECrel","compound"
"233","mmu:18534","mmu:13807","ECrel","compound"
"234","mmu:18534","mmu:13808","ECrel","compound"
"235","mmu:18534","mmu:226265","ECrel","compound"
"236","mmu:18534","mmu:433182","ECrel","compound"
"237","mmu:18534","mmu:18746","ECrel","compound"
"238","mmu:18534","mmu:18770","ECrel","compound"
"239","mmu:74551","mmu:13806","ECrel","compound"
"240","mmu:74551","mmu:13807","ECrel","compound"
"241","mmu:74551","mmu:13808","ECrel","compound"
"242","mmu:74551","mmu:226265","ECrel","compound"
"243","mmu:74551","mmu:433182","ECrel","compound"
"244","mmu:74551","mmu:18746","ECrel","compound"
