from,to,type,subtype
mmu:20133,mmu:18746,ECrel,compound
mmu:20133,mmu:18770,ECrel,compound
mmu:20133,mmu:171567,ECrel,compound
mmu:20133,mmu:18102,ECrel,compound
mmu:20133,mmu:18103,ECrel,compound
mmu:20133,mmu:54369,ECrel,compound
mmu:20133,mmu:56520,ECrel,compound
mmu:20133,mmu:633979,ECrel,compound
mmu:20133,mmu:79059,ECrel,compound
mmu:20133,mmu:12495,ECrel,compound
mmu:20133,mmu:215446,ECrel,compound
mmu:20133,mmu:72090,ECrel,compound
mmu:20133,mmu:12496,ECrel,compound
mmu:20133,mmu:66566,ECrel,compound
mmu:20133,mmu:102216272,ECrel,compound
mmu:20133,mmu:11636,ECrel,compound
mmu:20133,mmu:11637,ECrel,compound
mmu:20133,mmu:11639,ECrel,compound
mmu:20133,mmu:229949,ECrel,compound
mmu:20133,mmu:68870,ECrel,compound
mmu:20133,mmu:78801,ECrel,compound
mmu:20133,mmu:14923,ECrel,compound
mmu:20135,mmu:18746,ECrel,compound
mmu:20135,mmu:18770,ECrel,compound
mmu:20135,mmu:171567,ECrel,compound
mmu:20135,mmu:18102,ECrel,compound
mmu:20135,mmu:18103,ECrel,compound
mmu:20135,mmu:54369,ECrel,compound
mmu:20135,mmu:56520,ECrel,compound
mmu:20135,mmu:633979,ECrel,compound
mmu:20135,mmu:79059,ECrel,compound
mmu:20135,mmu:12495,ECrel,compound
mmu:20135,mmu:215446,ECrel,compound
mmu:20135,mmu:72090,ECrel,compound
mmu:20135,mmu:12496,ECrel,compound
mmu:20135,mmu:66566,ECrel,compound
mmu:20135,mmu:102216272,ECrel,compound
mmu:20135,mmu:11636,ECrel,compound
mmu:20135,mmu:11637,ECrel,compound
mmu:20135,mmu:11639,ECrel,compound
mmu:20135,mmu:229949,ECrel,compound
mmu:20135,mmu:68870,ECrel,compound
mmu:20135,mmu:78801,ECrel,compound
mmu:20135,mmu:14923,ECrel,compound
mmu:382985,mmu:18746,ECrel,compound
mmu:382985,mmu:18770,ECrel,compound
mmu:382985,mmu:171567,ECrel,compound
mmu:382985,mmu:18102,ECrel,compound
mmu:382985,mmu:18103,ECrel,compound
mmu:382985,mmu:54369,ECrel,compound
mmu:382985,mmu:56520,ECrel,compound
mmu:382985,mmu:633979,ECrel,compound
mmu:382985,mmu:79059,ECrel,compound
mmu:382985,mmu:12495,ECrel,compound
mmu:382985,mmu:215446,ECrel,compound
mmu:382985,mmu:72090,ECrel,compound
mmu:382985,mmu:12496,ECrel,compound
mmu:382985,mmu:66566,ECrel,compound
mmu:382985,mmu:102216272,ECrel,compound
mmu:382985,mmu:11636,ECrel,compound
mmu:382985,mmu:11637,ECrel,compound
mmu:382985,mmu:11639,ECrel,compound
mmu:382985,mmu:229949,ECrel,compound
mmu:382985,mmu:68870,ECrel,compound
mmu:382985,mmu:78801,ECrel,compound
mmu:382985,mmu:14923,ECrel,compound
cpd:C12248,cpd:C02350,irreversible,NA
cpd:C11821,cpd:C12248,irreversible,NA
mmu:22436,mmu:15452,ECrel,compound
mmu:22436,mmu:22262,ECrel,compound
mmu:22436,mmu:22436,ECrel,compound
mmu:22436,mmu:14544,ECrel,compound
path:mmu00340,mmu:11821,maplink,compound
mmu:110639,mmu:53893,ECrel,compound
mmu:110639,mmu:66358,ECrel,compound
mmu:110639,mmu:74167,ECrel,compound
mmu:110639,mmu:231327,ECrel,compound
mmu:110639,path:mmu00030,maplink,compound
mmu:110639,mmu:66681,ECrel,compound
mmu:110639,mmu:72157,ECrel,compound
mmu:19139,mmu:53893,ECrel,compound
mmu:19139,mmu:66358,ECrel,compound
mmu:19139,mmu:74167,ECrel,compound
mmu:19139,mmu:231327,ECrel,compound
mmu:19139,path:mmu00030,maplink,compound
mmu:19139,mmu:66681,ECrel,compound
mmu:19139,mmu:72157,ECrel,compound
mmu:328099,mmu:53893,ECrel,compound
mmu:328099,mmu:66358,ECrel,compound
mmu:328099,mmu:74167,ECrel,compound
mmu:328099,mmu:231327,ECrel,compound
mmu:328099,path:mmu00030,maplink,compound
mmu:328099,mmu:66681,ECrel,compound
mmu:328099,mmu:72157,ECrel,compound
mmu:75456,mmu:53893,ECrel,compound
mmu:75456,mmu:66358,ECrel,compound
mmu:75456,mmu:74167,ECrel,compound
mmu:75456,mmu:231327,ECrel,compound
mmu:75456,path:mmu00030,maplink,compound
mmu:75456,mmu:66681,ECrel,compound
mmu:75456,mmu:72157,ECrel,compound
mmu:231327,mmu:14450,ECrel,compound
mmu:231327,path:mmu00250,maplink,compound
mmu:231327,path:mmu00030,maplink,compound
mmu:14450,mmu:14450,ECrel,compound
mmu:14450,mmu:237823,ECrel,compound
mmu:14450,mmu:67054,ECrel,compound
mmu:14450,path:mmu00730,maplink,compound
mmu:14450,path:mmu00250,maplink,compound
mmu:108147,mmu:108147,ECrel,compound
mmu:108147,path:mmu00340,maplink,compound
mmu:108147,mmu:16434,ECrel,compound
mmu:108147,mmu:100862375,ECrel,compound
mmu:108147,mmu:12497,ECrel,compound
mmu:108147,mmu:12499,ECrel,compound
mmu:108147,mmu:67464,ECrel,compound
mmu:108147,mmu:76025,ECrel,compound
mmu:108147,mmu:12495,ECrel,compound
mmu:108147,mmu:215446,ECrel,compound
mmu:108147,mmu:72090,ECrel,compound
mmu:108147,mmu:23917,ECrel,compound
mmu:108147,mmu:23918,ECrel,compound
mmu:108147,mmu:15452,ECrel,compound
mmu:108147,mmu:103850,ECrel,compound
mmu:108147,mmu:107569,ECrel,compound
mmu:108147,mmu:230718,ECrel,compound
mmu:108147,mmu:23959,ECrel,compound
mmu:108147,mmu:50773,ECrel,compound
mmu:108147,mmu:66763,ECrel,compound
mmu:108147,mmu:68106,ECrel,compound
mmu:108147,mmu:70881,ECrel,compound
mmu:108147,mmu:76952,ECrel,compound
mmu:108147,mmu:73532,ECrel,compound
mmu:108147,mmu:75686,ECrel,compound
mmu:11564,mmu:11821,ECrel,compound
mmu:11564,mmu:108147,ECrel,compound
mmu:11564,path:mmu00340,maplink,compound
mmu:11564,mmu:109674,ECrel,compound
mmu:11564,mmu:11717,ECrel,compound
mmu:11564,mmu:229665,ECrel,compound
mmu:11564,mmu:11534,ECrel,compound
mmu:11564,mmu:13178,ECrel,compound
mmu:11564,mmu:103850,ECrel,compound
mmu:11564,mmu:107569,ECrel,compound
mmu:11564,mmu:230718,ECrel,compound
mmu:11564,mmu:23959,ECrel,compound
mmu:11564,mmu:50773,ECrel,compound
mmu:11564,mmu:66763,ECrel,compound
mmu:11564,mmu:68106,ECrel,compound
mmu:11564,mmu:70881,ECrel,compound
mmu:11564,mmu:76952,ECrel,compound
mmu:67054,mmu:67054,ECrel,compound
mmu:67054,mmu:11564,ECrel,compound
mmu:67054,path:mmu00730,maplink,compound
mmu:18573,mmu:104110,ECrel,compound
mmu:18573,mmu:104111,ECrel,compound
mmu:18573,mmu:11512,ECrel,compound
mmu:18573,mmu:11513,ECrel,compound
mmu:18573,mmu:11514,ECrel,compound
mmu:18573,mmu:11515,ECrel,compound
mmu:18573,mmu:210044,ECrel,compound
mmu:18573,mmu:224129,ECrel,compound
mmu:18573,mmu:271639,ECrel,compound
mmu:18573,mmu:432530,ECrel,compound
mmu:18573,mmu:16434,ECrel,compound
mmu:18573,mmu:12495,ECrel,compound
mmu:18573,mmu:215446,ECrel,compound
mmu:18573,mmu:72090,ECrel,compound
mmu:18573,mmu:100862375,ECrel,compound
mmu:18573,mmu:12497,ECrel,compound
mmu:18573,mmu:12499,ECrel,compound
mmu:18573,mmu:67464,ECrel,compound
mmu:18573,mmu:76025,ECrel,compound
mmu:18573,mmu:14923,ECrel,compound
mmu:18573,mmu:11821,ECrel,compound
mmu:18573,mmu:15452,ECrel,compound
mmu:18573,mmu:103850,ECrel,compound
mmu:18573,mmu:107569,ECrel,compound
mmu:18573,mmu:230718,ECrel,compound
mmu:18573,mmu:23959,ECrel,compound
mmu:18573,mmu:50773,ECrel,compound
mmu:18573,mmu:66763,ECrel,compound
mmu:18573,mmu:68106,ECrel,compound
mmu:18573,mmu:70881,ECrel,compound
mmu:18573,mmu:76952,ECrel,compound
mmu:18573,mmu:11564,ECrel,compound
mmu:18573,mmu:109674,ECrel,compound
mmu:18573,mmu:11717,ECrel,compound
mmu:18573,mmu:229665,ECrel,compound
mmu:18573,mmu:11534,ECrel,compound
mmu:18573,mmu:13178,ECrel,compound
mmu:18574,mmu:104110,ECrel,compound
mmu:18574,mmu:104111,ECrel,compound
mmu:18574,mmu:11512,ECrel,compound
mmu:18574,mmu:11513,ECrel,compound
mmu:18574,mmu:11514,ECrel,compound
mmu:18574,mmu:11515,ECrel,compound
mmu:18574,mmu:210044,ECrel,compound
mmu:18574,mmu:224129,ECrel,compound
mmu:18574,mmu:271639,ECrel,compound
mmu:18574,mmu:432530,ECrel,compound
mmu:18574,mmu:16434,ECrel,compound
mmu:18574,mmu:12495,ECrel,compound
mmu:18574,mmu:215446,ECrel,compound
mmu:18574,mmu:72090,ECrel,compound
mmu:18574,mmu:100862375,ECrel,compound
mmu:18574,mmu:12497,ECrel,compound
mmu:18574,mmu:12499,ECrel,compound
mmu:18574,mmu:67464,ECrel,compound
mmu:18574,mmu:76025,ECrel,compound
mmu:18574,mmu:14923,ECrel,compound
mmu:18574,mmu:11821,ECrel,compound
mmu:18574,mmu:15452,ECrel,compound
mmu:18574,mmu:103850,ECrel,compound
mmu:18574,mmu:107569,ECrel,compound
mmu:18574,mmu:230718,ECrel,compound
mmu:18574,mmu:23959,ECrel,compound
mmu:18574,mmu:50773,ECrel,compound
mmu:18574,mmu:66763,ECrel,compound
mmu:18574,mmu:68106,ECrel,compound
mmu:18574,mmu:70881,ECrel,compound
mmu:18574,mmu:76952,ECrel,compound
mmu:18574,mmu:11564,ECrel,compound
mmu:18574,mmu:109674,ECrel,compound
mmu:18574,mmu:11717,ECrel,compound
mmu:18574,mmu:229665,ECrel,compound
mmu:18574,mmu:11534,ECrel,compound
mmu:18574,mmu:13178,ECrel,compound
mmu:18575,mmu:104110,ECrel,compound
mmu:18575,mmu:104111,ECrel,compound
mmu:18575,mmu:11512,ECrel,compound
mmu:18575,mmu:11513,ECrel,compound
mmu:18575,mmu:11514,ECrel,compound
mmu:18575,mmu:11515,ECrel,compound
mmu:18575,mmu:210044,ECrel,compound
mmu:18575,mmu:224129,ECrel,compound
mmu:18575,mmu:271639,ECrel,compound
mmu:18575,mmu:432530,ECrel,compound
mmu:18575,mmu:16434,ECrel,compound
mmu:18575,mmu:12495,ECrel,compound
mmu:18575,mmu:215446,ECrel,compound
mmu:18575,mmu:72090,ECrel,compound
mmu:18575,mmu:100862375,ECrel,compound
mmu:18575,mmu:12497,ECrel,compound
mmu:18575,mmu:12499,ECrel,compound
mmu:18575,mmu:67464,ECrel,compound
mmu:18575,mmu:76025,ECrel,compound
mmu:18575,mmu:14923,ECrel,compound
mmu:18575,mmu:11821,ECrel,compound
mmu:18575,mmu:15452,ECrel,compound
mmu:18575,mmu:103850,ECrel,compound
mmu:18575,mmu:107569,ECrel,compound
mmu:18575,mmu:230718,ECrel,compound
mmu:18575,mmu:23959,ECrel,compound
mmu:18575,mmu:50773,ECrel,compound
mmu:18575,mmu:66763,ECrel,compound
mmu:18575,mmu:68106,ECrel,compound
mmu:18575,mmu:70881,ECrel,compound
mmu:18575,mmu:76952,ECrel,compound
mmu:18575,mmu:11564,ECrel,compound
mmu:18575,mmu:109674,ECrel,compound
mmu:18575,mmu:11717,ECrel,compound
mmu:18575,mmu:229665,ECrel,compound
mmu:18575,mmu:11534,ECrel,compound
mmu:18575,mmu:13178,ECrel,compound
mmu:18576,mmu:104110,ECrel,compound
mmu:18576,mmu:104111,ECrel,compound
mmu:18576,mmu:11512,ECrel,compound
mmu:18576,mmu:11513,ECrel,compound
mmu:18576,mmu:11514,ECrel,compound
mmu:18576,mmu:11515,ECrel,compound
mmu:18576,mmu:210044,ECrel,compound
mmu:18576,mmu:224129,ECrel,compound
mmu:18576,mmu:271639,ECrel,compound
mmu:18576,mmu:432530,ECrel,compound
mmu:18576,mmu:16434,ECrel,compound
mmu:18576,mmu:12495,ECrel,compound
mmu:18576,mmu:215446,ECrel,compound
mmu:18576,mmu:72090,ECrel,compound
mmu:18576,mmu:100862375,ECrel,compound
mmu:18576,mmu:12497,ECrel,compound
mmu:18576,mmu:12499,ECrel,compound
mmu:18576,mmu:67464,ECrel,compound
mmu:18576,mmu:76025,ECrel,compound
mmu:18576,mmu:14923,ECrel,compound
mmu:18576,mmu:11821,ECrel,compound
mmu:18576,mmu:15452,ECrel,compound
mmu:18576,mmu:103850,ECrel,compound
mmu:18576,mmu:107569,ECrel,compound
mmu:18576,mmu:230718,ECrel,compound
mmu:18576,mmu:23959,ECrel,compound
