"","x"
"1","Trim25"
"2","Rad50"
"3","Nbn"
"4","Ngfr"
"5","Epn2"
"6","E2f2"
"7","Cdkn1b"
"8","Cd34"
"9","Enpp3"
"10","Bbs2"
"11","Tfpi"
"12","Bace1"
"13","Nploc4"
"14","Cyba"
"15","Rps6kb1"
"16","Ilk"
"17","Gnai3"
"18","Cox5a"
"19","Atp5pb"
"20","Cad"
"21","Gale"
"22","Ppp2r5c"
"23","Mapk7"
"24","Ppp2r1a"
"25","Eya4"
"26","Dnaja3"
"27","Coro1c"
"28","Slamf6"
"29","Slamf1"
"30","Plag1"
"31","Psap"
"32","Fasn"
"33","Miga2"
"34","Kif5b"
"35","Cntnap1"
"36","Cacna1d"
"37","Scn10a"
"38","Cdh4"
"39","Cntnap4"
"40","Map4k2"
"41","Map3k14"
"42","Plekha2"
"43","Efhb"
"44","Bace2"
"45","Mtfr2"
"46","Igf1"
"47","Ndufs1"
"48","Idh3g"
"49","Slc25a18"
"50","Insr"
"51","Taz"
"52","Mdh1"
"53","Pomc"
"54","Nfatc4"
"55","Rb1cc1"
"56","Surf1"
"57","Prpf8"
"58","Limd1"
"59","Sbds"
"60","Sfswap"
"61","Strap"
"62","Shq1"
"63","Celf1"
"64","Mrpl22"
"65","Coq8a"
"66","Coq8b"
"67","Txnrd1"
"68","Golga2"
"69","Ppp3r1"
"70","Rcan1"
"71","Arl2bp"
"72","Il10ra"
"73","Ccl5"
"74","Akr1b3"
"75","Ager"
"76","Sac3d1"
"77","Gne"
"78","Fblim1"
"79","Plek"
"80","Fn1"
"81","Nutf2"
"82","Rpain"
"83","Agap3"
"84","Srp9"
"85","Prkcq"
"86","Lrsam1"
"87","Zfand6"
"88","Nup50"
"89","Cry1"
"90","St3gal2"
"91","G6pc3"
"92","Dusp19"
"93","Map3k13"
"94","Mapk8ip3"
"95","Lmnb1"
"96","Slirp"
"97","Optn"
"98","Rab3a"
"99","Letm1"
"100","Fez1"
"101","Dclk2"
"102","Foxj2"
"103","Gk5"
"104","Slc24a1"
"105","Fmr1"
"106","Srrm2"
"107","Puf60"
"108","Yju2"
"109","Polr2a"
"110","Rgr"
"111","Pacsin2"
"112","Nedd4l"
"113","Pabpn1"
"114","Pan2"
"115","Scly"
"116","Gldc"
"117","Rab8a"
"118","Rrad"
"119","Ctsd"
"120","Rarb"
"121","Trim67"
"122","Ints3"
"123","Tipin"
"124","Nabp1"
"125","Siglec1"
"126","Abhd12"
"127","Bag6"
"128","Etaa1"
"129","Trmu"
"130","Elp4"
"131","Syn2"
