avg,symbol
3.12718545591864e-16,Kap
2.81494735390928e-16,Malat1
1.28463755430244e-16,Gm10116
1.25618763898881e-16,Rpl38
1.17976567443549e-16,Gm10250
9.55964631681864e-17,Ldhd
9.39432334627323e-17,Rps27a
9.21828175560806e-17,Pecr
7.96305794810326e-17,Cd63
7.85476329740025e-17,Gm6576
7.58527584127674e-17,Aldob
7.54295775049085e-17,Scp2
7.37822093756965e-17,S100g
7.22937695242044e-17,Ndufa4
7.20318983285497e-17,Atp1b1
6.69351089464565e-17,Ndufs7
6.61700622936751e-17,Rpl35
6.54555020519607e-17,Chpt1
6.48023828199411e-17,RP23-306P12.2
6.39620395386472e-17,Pck1
6.37382279959325e-17,Ogt
6.2661180951602e-17,Cyp2e1
6.0703666161093e-17,Rpl13a-ps1
5.98502547580665e-17,Idh3g
5.9725976352093e-17,Gpr107
5.78929104566171e-17,Hdc
5.62474041761837e-17,Gapdh
5.59776742467309e-17,Cox6c
5.48134558755731e-17,Tmem213
5.46827908953008e-17,Mtm1
5.3547026606967e-17,Mdc1
5.32836007134587e-17,Cyp24a1
5.32224519707234e-17,Dlec1
5.30312119569325e-17,Cystm1
5.22572457495372e-17,Rps27rt
5.16981498808383e-17,Tsc22d1
5.12401567306999e-17,Rplp1
5.11410457573445e-17,Slc7a7
5.09722670006213e-17,Hagh
5.08600797870067e-17,Hao2
5.08381705897512e-17,Chrna4
5.01905936052587e-17,Xist
5.01136083232028e-17,Rpl6l
4.99472542997727e-17,Dnajb4
4.9725650996307e-17,Ifi27
4.95731092928858e-17,Ppia
4.94961213046544e-17,Gm4950
4.83377076800521e-17,Rpl35a
4.82400039179829e-17,Gm5900
4.78484744393607e-17,D630023F18Rik
4.77909898583205e-17,Sash1
4.7769670607335e-17,Phykpl
4.77674190692771e-17,Tpt1
4.74885639158686e-17,Usf1
4.73967271423924e-17,Fzr1
4.70775662103373e-17,Cyth2
4.65405256723736e-17,Spsb2
4.62739565559636e-17,Psmc2
4.60072358937227e-17,Atp6v1b2
4.59960864504554e-17,Ndufv2
4.58277839806291e-17,Ttc36
4.54989728265614e-17,Wdfy1
4.44586323473957e-17,Rcan1
4.44216754609925e-17,Gm4952
4.43463801855678e-17,App
4.41661867803733e-17,Rpp40
4.40260116226733e-17,Chchd2
4.33605312572836e-17,Ndufa11
4.30779415816156e-17,Hoxc6
4.26213989415722e-17,Sec61a2
4.25207616852064e-17,Dock8
4.2287559713332e-17,Zfp213
4.20455572585679e-17,Wdr18
4.20195022003693e-17,Etaa1os
4.18798851913765e-17,Tor1aip1
4.17298764682705e-17,Rps28
4.11519239683369e-17,A630072M18Rik
4.09211196680001e-17,Akr1e1
4.09007692278616e-17,Ddx17
4.05631034673932e-17,D630029K05Rik
4.03309569039834e-17,Cox6b2
3.97565846743029e-17,Rundc1
3.97282158360088e-17,Fitm1
3.94682064891328e-17,Umod
3.89446697671653e-17,Sqle
3.87977244347822e-17,Rps5
3.87463720475391e-17,Abcg2
3.85880607778446e-17,Metrn
3.8364368306854e-17,Fam25c
3.78982891041712e-17,Npc2
3.76138484044268e-17,Cyb5a
3.75963556856695e-17,Acsm2
3.71150461269894e-17,Neat1
3.71111357033192e-17,Specc1l
3.68086312817763e-17,Zfp503
3.67573546674486e-17,Phtf1
3.65862918985609e-17,Id3
3.65583641668815e-17,Trmt13
3.64787268327862e-17,Acaa1a
3.6470002122812e-17,S100a11
3.63475314421061e-17,Ldhb
3.62822801372365e-17,0610011F06Rik
3.62606307328338e-17,Mif
3.6259028676908e-17,Txn1
3.61078725353686e-17,Cc2d1a
3.60903852289623e-17,Cela1
3.57371048355685e-17,Glul
3.52184067554851e-17,Cd81
3.51704046135732e-17,Prima1
3.50408924640854e-17,Alkbh5
3.50370063959951e-17,Phyh
3.49931447026753e-17,Prpf4b
3.48715345857944e-17,M6pr
3.48243875953565e-17,Actr2
3.48120041360382e-17,Clip4
3.45208196468224e-17,Kcnk5
3.36967783670437e-17,Calr
3.36333780862505e-17,Met
3.3591735456882e-17,Fbxl18
3.35146202783997e-17,Dynll1
3.34280659595978e-17,Cml1
3.32718222080238e-17,Uba52
3.30846631069627e-17,Rps27
3.29908345882816e-17,Lgmn
3.28064899097929e-17,Rps12-ps3
3.2745687557528e-17,6720427I07Rik
3.27418014894377e-17,Defb29
3.24463628922567e-17,Map7d1
3.24371297595509e-17,Gsn
3.22994067351714e-17,Grhpr
3.20141704198152e-17,Mok
3.19881207739677e-17,Got1
3.19540987349489e-17,Ap3m1
3.19480477264184e-17,mt-Atp8
3.18924141694546e-17,Eml2
3.18494888128752e-17,Aven
3.17837070975977e-17,Bcl2
3.15220280404072e-17,Abcb7
3.14755711247346e-17,Wfdc15b
3.12748811459219e-17,Prpf39
3.11004518946496e-17,Samd4b
3.1069828812122e-17,Tns2
3.10467830211354e-17,Fyco1
3.08488425166818e-17,Tkt
3.07009337858028e-17,Fam13a
3.06987688453625e-17,Slc17a1
3.06728978071013e-17,Susd3
3.06198026428038e-17,Cox6b1
3.05912795525033e-17,Slco1a6
3.05502539311602e-17,Stab2
3.0444215148396e-17,Cyp4b1
3.02673503391284e-17,Diaph1
3.02569369756107e-17,RP24-64C6.3
3.01058511946356e-17,H2-Ab1
2.98879228775673e-17,Bmpr2
2.98724543781216e-17,Tmem175
2.98042371048488e-17,Atp11a
2.97624050431917e-17,Psen1
2.96598680515896e-17,Nsun6
2.96300459970249e-17,Urm1
2.94741811100279e-17,Psma2
2.925836902224e-17,Dusp3
2.92492113241776e-17,Slc12a3
2.92020886893197e-17,Usp39
2.9133473608241e-17,Sat1
2.90639248965974e-17,Gm15860
2.89720881231213e-17,Klhl42
2.89450913158312e-17,Etv5
2.8404364966768e-17,Gm3336
2.84002082811227e-17,2310057M21Rik
2.81896678233068e-17,Rpgrip1
2.8186398763242e-17,Psmb3
2.79759232536392e-17,Dot1l
2.79533645742517e-17,Mpv17l
2.73953295263686e-17,Gm26917
2.71259459873862e-17,Hnf1a
2.7040127748334e-17,Phf14
2.69476631421302e-17,Smim24
2.69132189397256e-17,Dhrs4
2.6781791494492e-17,Arhgap44
2.63539390510893e-17,Mrpl39
2.63374638543389e-17,Zfp346
2.62695550850788e-17,Ddt
2.61426516888215e-17,Arl14ep
2.60719447340424e-17,Tor2a
2.60208521396521e-17,Zfp384
2.581180549074e-17,Tmem106a
2.55490683189092e-17,Rab24
2.55470765737042e-17,Acot2
2.53688153778526e-17,Ppp1r16b
2.53555659423582e-17,Lrp2
2.53508409598473e-17,Npl
2.52640972087569e-17,Psmd6
2.52265787909271e-17,Gadd45gip1
2.52248035397661e-17,Pcgf6
2.5053773244985e-17,Rpl23
2.49639715155228e-17,Gcnt1
2.49180747781891e-17,Golga4
2.4826129757691e-17,Rangap1
2.48121009436381e-17,Gstz1
2.47810989965334e-17,D130020L05Rik
2.47142645789669e-17,Zfyve19
2.4695908590209e-17,Gpatch4
2.46807161206694e-17,Apool
2.46399015810193e-17,Atp6v1f
2.46392088000784e-17,Ptprf
2.4592684230017e-17,Cyp2d22
2.4495797732964e-17,Nphp1
2.44808867056817e-17,D5Ertd579e
2.44602115244771e-17,Ugt3a1
2.44060230652573e-17,Psmb6
2.4361814981467e-17,Lpin1
2.4359877359773e-17,Gart
2.43163620569236e-17,BC021785
2.41729016021055e-17,Gdpd3
2.38133029653455e-17,Carm1
2.37483033348021e-17,Agpat9
2.37100758989781e-17,Cyp2a4
2.35934667945142e-17,Pqbp1
2.35923734995919e-17,Klf3
2.35347860838808e-17,Uap1l1
2.35086227786602e-17,Man2c1
2.35008668795329e-17,Ankrd44
2.34593595589419e-17,Gm10269
2.34327307915266e-17,Cyp4a14
2.33227897036188e-17,Sec24c
2.32326686454416e-17,Atf5
2.32208480706377e-17,Serinc1
2.31787183296701e-17,Galnt11
2.31619400412581e-17,Dennd1a
2.31366129442825e-17,Dixdc1
2.30154601710696e-17,Csad
2.30135550234822e-17,Repin1
2.29256800910118e-17,Nox4
2.28455448206153e-17,Sec23ip
2.27946795449712e-17,Trmt1l
2.27755198220749e-17,Birc6
2.26540233645671e-17,Mat2a
2.25989905785756e-17,Kptn
2.25844854776258e-17,Ikzf2
2.25023564323926e-17,C4b
2.2451428238167e-17,Zfp113
2.24002057473503e-17,Rpl26
2.23908532046483e-17,Eif3b
2.23888073359323e-17,Uspl1
2.2380244996491e-17,Kansl3
2.23726406431946e-17,Ppfibp1
2.23490265553424e-17,Pdcd4
2.23245194295586e-17,Slc5a2
2.22005116411401e-17,Slc8b1
2.21046589031473e-17,Supt7l
2.20571113987279e-17,Gm6133
2.19622843012687e-17,Itpkc
2.19435981590936e-17,Atp5b
2.19015766651481e-17,Pclo
2.1859582232958e-17,Ing1
2.18509711823568e-17,Zfp579
2.18354918582089e-17,Pan2
2.18007337394405e-17,Ovol1
2.17818013352903e-17,Tmem2
2.1579195384188e-17,Rps23
2.15134326121393e-17,Ttc27
2.15070379193139e-17,Nudt19
2.13877497010552e-17,Mib2
2.13541498254223e-17,Mgst3
2.13103747297201e-17,Siva1
2.12775325832412e-17,Nhs
2.12413780778888e-17,Pmpcb
