mgi_symbol_a,mgi_symbol_b,dip_id_a,dip_id_b,uniprot_id_a,uniprot_id_b,interaction_types,interaction_detection_methods,confidence_value
Bcl2,Prnp,DIP-1065N,DIP-4N,P10417,P04925,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Cish,Epor,DIP-907N,DIP-657N,Q62225,P14753,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Sla,Epha2,DIP-292N,DIP-829N,Q60898,Q03145,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0018(two hybrid)|MI:0019(coimmunoprecipitation),dip-quality-status:core
Rab6a,Gdi2,DIP-120N,DIP-348N,P35279,Q61598,MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),MI:0018(two hybrid)|MI:0045(experimental interaction detection)|MI:0401(biochemical),dip-quality-status:core
Dennd5a,Rab6a,DIP-287N,DIP-120N,Q6PAL8,P35279,MI:0218(physical interaction)|MI:0218(physical interaction),MI:0018(two hybrid)|MI:0401(biochemical),dip-quality-status:core
Vim,Vim,DIP-188N,DIP-188N,P20152,P20152,MI:0218(physical interaction),MI:0018(two hybrid),dip-quality-status:core
Stat3,Il10ra,DIP-442N,DIP-247N,P42227,Q61727,MI:0218(physical interaction),MI:0019(coimmunoprecipitation),dip-quality-status:core
Notch1,Rbpj,DIP-214N,DIP-171N,Q01705,P31266,MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
Myc,Max,DIP-1064N,DIP-116N,P01108,P28574,MI:0254(genetic interference),MI:0254(genetic interference),dip-quality-status:core
Stat3,Ghr,DIP-442N,DIP-441N,P42227,P16882,MI:0218(physical interaction),MI:0013(biophysical),dip-quality-status:core
Cdk4,Ccnd1,DIP-194N,DIP-284N,P30285,P25322,MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association),MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation),dip-quality-status:core
