"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"1","Xkr4","0","0","0","0"
"2","Rp1","0","0","0","0"
"3","Sox17","0","0","0","0"
"4","Mrpl15","274","351","203","462"
"5","Lypla1","743","702","463","817"
"6","Tcea1","1101","1391","884","1523"
"7","Rgs20","9","6","3","16"
"8","Atp6v1h","601","686","468","1014"
"9","Oprk1","0","0","0","0"
"10","Npbwr1","0","0","0","0"
"11","Rb1cc1","964","1267","829","1877"
"12","Fam150a","0","0","0","0"
"13","St18","50","33","23","63"
"14","Pcmtd1","814","989","748","1400"
"15","Sntg1","0","0","0","0"
"16","Rrs1","356","391","236","603"
"17","Adhfe1","325","134","261","114"
"18","2610203C22Rik","35","57","75","159"
"19","3110035E14Rik","7","17","44","37"
"20","Mybl1","11","37","18","8"
"21","Vcpip1","2107","2328","1573","3485"
"22","Sgk3","1233","1675","994","2186"
"23","6030422M02Rik","543","588","363","795"
"24","Snhg6","57","135","117","210"
"25","Snord87","6","3","0","4"
"26","Lrrc67","0","0","0","0"
"27","Cops5","434","505","414","770"
"28","Cspp1","372","338","243","505"
"29","Arfgef1","2148","2581","1709","3527"
"30","Cpa6","0","0","0","0"
"31","Prex2","84","60","52","91"
"32","A830018L16Rik","2","9","14","16"
"33","Sulf1","3","5","0","0"
"34","Slco5a1","9","1","0","1"
"35","Prdm14","0","2","0","0"
"36","Ncoa2","2200","2491","1924","3513"
"37","Tram1","2454","2584","1727","3693"
"38","Lactb2","540","441","431","515"
"39","Xkr9","0","0","0","0"
"40","Gm5523","7","15","0","1"
"41","Eya1","2","13","8","14"
"42","Msc","0","0","0","0"
"43","Trpa1","0","0","0","0"
"44","Kcnb2","0","0","0","0"
"45","Terf1","342","302","238","366"
"46","Gm106","2","10","32","10"
"47","Rpl7","7753","9399","6090","12707"
"48","Rdh10","356","278","266","384"
"49","Stau2","98","144","154","217"
"50","Ube2w","254","473","211","560"
"51","Tceb1","251","374","212","549"
"52","D030040B21Rik","17","22","19","46"
"53","Tmem70","345","403","405","616"
"54","Ly96","70","132","62","149"
"55","Jph1","2","3","0","0"
"56","Gdap1","0","0","0","0"
"57","Pi15","81","134","78","116"
"58","Crispld1","0","1","0","3"
"59","Crisp4","0","0","0","0"
"60","Defb44-ps","0","0","0","0"
"61","Defb18","0","0","0","0"
"62","Defb41","0","0","0","0"
"63","Gm15386","0","0","0","0"
"64","Tcfap2d","0","0","0","0"
"65","Tcfap2b","5","38","7","31"
"66","Pkhd1","193","95","230","89"
"67","Mir206","0","0","1","0"
"68","Mir133b","0","0","0","0"
"69","Il17a","0","0","0","0"
"70","Il17f","0","0","0","17"
"71","Mcm3","1021","1310","836","1511"
"72","Paqr8","38","35","19","27"
"73","Efhc1","19","29","28","40"
"74","Tram2","114","110","71","94"
"75","Tmem14a","44","22","21","7"
"76","Gsta3","167","81","181","79"
"77","Gm4956","4","0","4","0"
"78","Khdc1a","0","0","0","0"
"79","Khdc1c","0","0","0","0"
"80","Khdc1b","2","0","1","0"
"81","Kcnq5","0","3","0","0"
"82","Rims1","0","0","0","0"
"83","4933415F23Rik","0","1","0","0"
"84","Mir30a","0","0","0","0"
"85","Mir30c-2","0","0","0","0"
"86","Ogfrl1","1471","1617","1254","2616"
"87","B3gat2","421","365","325","467"
"88","Smap1","592","700","394","814"
"89","1110058L19Rik","120","48","41","142"
"90","Fam135a","151","174","220","420"
"91","Col9a1","0","0","0","0"
"92","Col19a1","1","0","0","2"
"93","Lmbrd1","1064","1489","1156","2305"
"94","Bai3","0","0","0","0"
"95","LOC100504323","101","133","53","122"
"96","4931408C20Rik","0","0","0","0"
"97","Gm597","0","0","0","0"
"98","Phf3","1732","1976","1589","2751"
"99","Ptp4a1","756","752","479","996"
"100","Gm13363","712","733","453","934"
"101","4931428L18Rik","2","7","0","0"
"102","Lgsn","0","0","0","0"
"103","4930521A18Rik","0","0","0","0"
"104","Gm4850","0","0","0","0"
"105","Khdrbs2","0","0","0","4"
"106","Gm9839","0","0","0","0"
"107","Gm5415","4","9","4","27"
"108","Prim2","172","249","81","312"
"109","1700001G17Rik","0","9","0","0"
"110","Rab23","94","126","147","215"
"111","Bag2","26","12","9","50"
"112","Zfp451","452","456","376","583"
"113","Gm15455","0","0","0","0"
"114","Bend6","323","485","382","670"
"115","Dst","7759","9208","8036","15111"
"116","Ccdc115","410","511","373","594"
"117","Imp4","622","905","523","912"
"118","Ptpn18","1256","1817","1408","2593"
"119","Prss39","0","4","10","0"
"120","Cfc1","0","0","0","0"
"121","Prss40","1","0","0","0"
"122","Fam123c","0","0","0","0"
"123","AA619741","0","0","0","0"
"124","Arhgef4","72","59","66","141"
"125","Fam168b","4584","5390","4075","8217"
"126","Plekhb2","1908","1923","1543","2517"
"127","Hs6st1","2022","2335","2040","3040"
"128","Uggt1","2388","3496","2139","3984"
"129","Neurl3","6724","8372","5916","11188"
"130","Arid5a","574","574","381","721"
"131","4632411B12Rik","1564","1878","1046","2451"
"132","Lman2l","726","730","625","1130"
"133","Cnnm4","873","1027","775","1239"
"134","Cnnm3","893","998","828","1465"
"135","Ankrd23","212","179","206","322"
"136","Ankrd39","116","194","169","275"
"137","Sema4c","1287","1692","1259","2494"
"138","Fam178b","18","6","9","40"
"139","Cox5b","1098","1065","866","1168"
"140","Actr1b","822","961","723","1085"
"141","Zap70","4","3","0","0"
"142","Tmem131","2035","2584","1785","3470"
"143","Cnga3","0","17","2","27"
"144","Inpp4a","1643","1787","1308","2502"
"145","6330578E17Rik","1410","1583","1061","2045"
