ligand,target,weight
Hmgb2,Mki67,0.0111317874203595
Hmgb2,Top2a,0.0108711128393376
App,Cd36,0.00877911679442156
App,Lilra5,0.00682795587081627
Hmgb2,Iqgap3,0.006805714304107
Vegfa,Ace,0.00606606792206547
Hmgb1,Vcam1,0.00590282485316751
Il15,Ccr2,0.00580151683071868
Egf,Xdh,0.00508938017353807
Egf,Dlc1,0.0049960495938217
Egf,Vim,0.00495544291804902
Nampt,Cd36,0.00460748244911217
Egf,Mmp14,0.00460233493159444
Egf,Pmepa1,0.00456271139494355
Il15,Kcnj9,0.00446508877147263
Vegfa,Timp2,0.00432247876643764
Apoe,Timp2,0.00420291883098396
Il15,Maf,0.00406600134046839
Kl,Igf1,0.00406084175424014
Apoe,Igf1,0.00398311039481062
Apoe,Nr1h3,0.00397297146806381
Apoe,Vcam1,0.00395713090168268
Il15,Pbxip1,0.00395033259045921
Apoe,Cd44,0.0038757690753724
Bmp7,Cd44,0.00253668510202706
Hbegf,Csf1r,0.00244747395895684
Vegfa,Kcnn4,0.00238829844491075
Bmp7,Igf1,0.00233091861728301
Hmgb1,Ahnak,0.00229718206526458
Vegfa,Cd44,0.00228858019931171
Vegfa,Nr4a1,0.00222635314214723
Vegfa,Vcam1,0.00216062517655608
Hmgb1,Tubb5,0.00210352799194836
Fgf1,Apoe,0.00209526142255898
Cxcl12,Cd44,0.00208044118254743
Cxcl12,Mmp14,0.00206926318512956
Hmgb1,Fn1,0.00195162346494514
Nampt,Ahnak,0.00186880674866776
Bmp7,Ahnak,0.00177904121416408
Nampt,Tubb5,0.00168264419669985
Bmp7,Fn1,0.00162587488662243
Nampt,Fn1,0.0015836944212677
Hmgb2,Zfhx3,0.00157848407779093
Bmp7,Tubb5,0.00156170679135207
Nampt,Zfhx3,0.00155363744776552
Hmgb2,Dlc1,0.00153261097609079
Bmp7,Zfhx3,0.00152211662752929
Bmp7,Fosl2,0.00150742409687554
Vegfa,Ahnak,0.00147252459272457
Gmfb,Ahnak,0.00143835242818774
Gmfb,Tubb5,0.00142819368202294
Vegfa,Fn1,0.00138374225895684
Gmfb,Fn1,0.00130616209103307
Fgf1,Ahnak,0.00128970280557901
Gmfb,Vim,0.00128875988543163
Gmfb,Fosl2,0.00128242755384225
Hbegf,Ahnak,0.00127227455205067
Gmfb,Zfhx3,0.00124144419769202
Kl,Ahnak,0.00123746646629764
Hbegf,Fn1,0.00120331193962465
Pcdh1,Ahnak,0.00118856754804636
Apoe,Ahnak,0.00117514479892138
Kl,Fn1,0.00117503932316527
Fgf1,Tubb5,0.00116920393796588
Hbegf,Tubb5,0.001149822418602
Fgf1,Fn1,0.0011457713304802
Pcdh1,Tubb5,0.00113651063837519
Col4a1,Zfhx3,0.00113565376914176
Kl,Tubb5,0.00112087807883525
Itgb1,Ahnak,0.00110700085316185
Cxcl12,Ahnak,0.00110652417012041
Gas6,Ahnak,0.00110444992899805
Col4a1,Ahnak,0.00109531132254673
Cxcl12,Fn1,0.00109018369767211
Apoe,Tubb5,0.00107323206698143
Pcdh1,Cd44,0.0010685380836137
Pcdh1,Pmepa1,0.00106675278143454
Col4a1,Fn1,0.00106112244878979
Cxcl12,Tubb5,0.00106062466917011
Pcdh1,Tgm2,0.00105520085662871
Gas6,Fn1,0.00104929271815995
Pcdh1,Vim,0.00104771033667529
Apoe,Fn1,0.00104629956897242
Kl,Maf,0.00102664560721735
Cxcl12,Zfhx3,0.00100634377867761
Gas6,Tubb5,0.000992378583217756
Col4a1,Pmepa1,0.000986667573410749
Itgb1,Tubb5,0.000971023133365895
Cxcl12,Fosl2,0.000970713981440392
Gas6,Zfhx3,0.000968111674383004
Gas6,Cd44,0.000966590504301768
Itgb1,Fn1,0.000944818880825884
Itgb1,Zfhx3,0.000942812676593932
Sema4d,Ahnak,0.000938089294158679
Plxnb2,Ahnak,0.000916763151630326
Sema4d,Tubb5,0.000880614293017526
Sema4d,Vim,0.000866200455071349
Sema4d,Fn1,0.000861683648153555
Sema4d,Zfhx3,0.00083527662732492
Plxnb2,Tubb5,0.000812696981992409
Plxnb2,Fn1,0.000793137622629396
Plxnb2,Vim,0.000775935174119853
Plxnb2,Zfhx3,0.000761986642646298
Plxnb2,Maf,0.000739814078418111
Cxcl16,Ahnak,0.000717994810253434
Cxcl16,Fn1,0.000716634657792913
Cxcl16,Tubb5,0.000636548704684124
Cxcl16,Maf,0.000617526750580267
Cxcl16,Zfhx3,0.00060630375418675
