"area"	"pop"	"year"	"ratio"
"1"	"<U+5317><U+4EAC><U+5E02>"	19612368	2000	1.09
"2"	"<U+5929><U+6D25><U+5E02>"	12938224	2000	0.79
"3"	"<U+6CB3><U+5317><U+7701>"	71854202	2000	5.33
"4"	"<U+5C71><U+897F><U+7701>"	35712111	2000	2.6
"5"	"<U+5185><U+8499><U+53E4><U+81EA><U+6CBB><U+533A>"	24706321	2000	1.88
"6"	"<U+8FBD><U+5B81><U+7701>"	43746323	2000	3.35
"7"	"<U+5409><U+6797><U+7701>"	27462297	2000	2.16
"8"	"<U+9ED1><U+9F99><U+6C5F><U+7701>"	38312224	2000	2.91
"9"	"<U+4E0A><U+6D77><U+5E02>"	23019148	2000	1.32
"10"	"<U+6C5F><U+82CF><U+7701>"	78659903	2000	5.88
"11"	"<U+6D59><U+6C5F><U+7701>"	54426891	2000	3.69
"12"	"<U+5B89><U+5FBD><U+7701>"	59500510	2000	4.73
"13"	"<U+798F><U+5EFA><U+7701>"	36894216	2000	2.74
"14"	"<U+6C5F><U+897F><U+7701>"	44567475	2000	3.27
"15"	"<U+5C71><U+4E1C><U+7701>"	95793065	2000	7.17
"16"	"<U+6CB3><U+5357><U+7701>"	94023567	2000	7.31
"17"	"<U+6E56><U+5317><U+7701>"	57237740	2000	4.76
"18"	"<U+6E56><U+5357><U+7701>"	65683722	2000	5.09
"19"	"<U+5E7F><U+4E1C><U+7701>"	104303132	2000	6.83
"20"	"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>"	46026629	2000	3.55
"21"	"<U+6D77><U+5357><U+7701>"	8671518	2000	0.62
"22"	"<U+91CD><U+5E86><U+5E02>"	28846170	2000	2.44
"23"	"<U+56DB><U+5DDD><U+7701>"	80418200	2000	6.58
"24"	"<U+8D35><U+5DDE><U+7701>"	34746468	2000	2.78
"25"	"<U+4E91><U+5357><U+7701>"	45966239	2000	3.39
"26"	"<U+897F><U+85CF><U+81EA><U+6CBB><U+533A>"	3002166	2000	0.21
"27"	"<U+9655><U+897F><U+7701>"	37327378	2000	2.85
"28"	"<U+7518><U+8083><U+7701>"	25575254	2000	2.02
"29"	"<U+9752><U+6D77><U+7701>"	5626722	2000	0.41
"30"	"<U+5B81><U+590F><U+56DE><U+65CF><U+81EA><U+6CBB><U+533A>"	6301350	2000	0.44
"31"	"<U+65B0><U+7586><U+7EF4><U+543E><U+5C14><U+81EA><U+6CBB><U+533A>"	21813334	2000	1.52
"32"	"<U+5317><U+4EAC><U+5E02>"	19612368	2010	1.46
"33"	"<U+5929><U+6D25><U+5E02>"	12938224	2010	0.97
"34"	"<U+6CB3><U+5317><U+7701>"	71854202	2010	5.36
"35"	"<U+5C71><U+897F><U+7701>"	35712111	2010	2.67
"36"	"<U+5185><U+8499><U+53E4><U+81EA><U+6CBB><U+533A>"	24706321	2010	1.84
"37"	"<U+8FBD><U+5B81><U+7701>"	43746323	2010	3.27
"38"	"<U+5409><U+6797><U+7701>"	27462297	2010	2.05
"39"	"<U+9ED1><U+9F99><U+6C5F><U+7701>"	38312224	2010	2.86
"40"	"<U+4E0A><U+6D77><U+5E02>"	23019148	2010	1.72
"41"	"<U+6C5F><U+82CF><U+7701>"	78659903	2010	5.87
"42"	"<U+6D59><U+6C5F><U+7701>"	54426891	2010	4.06
"43"	"<U+5B89><U+5FBD><U+7701>"	59500510	2010	4.44
"44"	"<U+798F><U+5EFA><U+7701>"	36894216	2010	2.75
"45"	"<U+6C5F><U+897F><U+7701>"	44567475	2010	3.33
"46"	"<U+5C71><U+4E1C><U+7701>"	95793065	2010	7.15
"47"	"<U+6CB3><U+5357><U+7701>"	94023567	2010	7.02
"48"	"<U+6E56><U+5317><U+7701>"	57237740	2010	4.27
"49"	"<U+6E56><U+5357><U+7701>"	65683722	2010	4.9
"50"	"<U+5E7F><U+4E1C><U+7701>"	104303132	2010	7.79
"51"	"<U+5E7F><U+897F><U+58EE><U+65CF><U+81EA><U+6CBB><U+533A>"	46026629	2010	3.44
"52"	"<U+6D77><U+5357><U+7701>"	8671518	2010	0.65
"53"	"<U+91CD><U+5E86><U+5E02>"	28846170	2010	2.15
"54"	"<U+56DB><U+5DDD><U+7701>"	80418200	2010	6
"55"	"<U+8D35><U+5DDE><U+7701>"	34746468	2010	2.59
"56"	"<U+4E91><U+5357><U+7701>"	45966239	2010	3.43
"57"	"<U+897F><U+85CF><U+81EA><U+6CBB><U+533A>"	3002166	2010	0.22
"58"	"<U+9655><U+897F><U+7701>"	37327378	2010	2.79
"59"	"<U+7518><U+8083><U+7701>"	25575254	2010	1.91
"60"	"<U+9752><U+6D77><U+7701>"	5626722	2010	0.42
"61"	"<U+5B81><U+590F><U+56DE><U+65CF><U+81EA><U+6CBB><U+533A>"	6301350	2010	0.47
"62"	"<U+65B0><U+7586><U+7EF4><U+543E><U+5C14><U+81EA><U+6CBB><U+533A>"	21813334	2010	1.63
